vehicle_id,plate_number,owner_person_id,vehicle_type,color
V-0045,GJ46TP3561,P-0561,Motorcycle,Orchid
V-0046,MP46GJ2174,P-0215,Motorcycle,RosyBrown
V-0047,PB45RT5772,P-0516,Auto-rickshaw,Crimson
V-0048,MP43TS8748,P-0597,Truck,Khaki
V-0049,MH34CK0870,P-0433,Car,DarkGreen
V-0050,UP49UZ4106,P-0205,Motorcycle,SkyBlue
V-0051,UP14UA7416,P-0064,Car,Navy
V-0052,PB56FR6372,P-0631,Motorcycle,Lavender
V-0053,UP45RY6350,P-0524,Auto-rickshaw,PaleGoldenRod
V-0054,PB04AG7260,P-0321,Motorcycle,DarkSalmon
V-0055,GJ49QT3219,P-0649,Motorcycle,Peru
V-0056,WB12ZB2848,P-0302,Car,LightSalmon
V-0057,MH28GG2637,P-0387,Truck,Sienna
V-0058,GJ30TD2519,P-0006,Truck,MediumAquaMarine
V-0059,MH50YQ4935,P-0612,Auto-rickshaw,DeepPink
V-0060,PB23BS8609,P-0587,Motorcycle,Teal
V-0061,PB05UD8898,P-0189,Auto-rickshaw,PaleGoldenRod
V-0062,GJ15XR5425,P-0095,Truck,LightCoral
V-0063,TN49QM9197,P-0301,Car,OliveDrab
V-0064,GJ29FR3995,P-0118,Car,DarkKhaki
V-0065,RJ59VC4204,P-0329,Truck,DarkTurquoise
V-0066,PB53UN8336,P-0026,Auto-rickshaw,Bisque
V-0067,MH19XE8420,P-0499,Car,Peru
V-0068,KA50NA1073,P-0099,Motorcycle,DarkOrchid
V-0069,TN56SW3369,P-0645,Auto-rickshaw,RosyBrown
V-0070,KA02MH1434,P-0074,Car,Khaki
V-0071,KA51GB3730,P-0056,Truck,Bisque
V-0072,RJ29RL0277,P-0418,Auto-rickshaw,AntiqueWhite
V-0073,PB01RQ9595,P-0122,Car,DimGray
V-0074,GJ60NG4938,P-0075,Car,White
V-0075,WB25KR7766,P-0289,Motorcycle,LightGreen
V-0076,TN09TV8942,P-0547,Truck,Maroon
V-0077,KA20SX6114,P-0650,Car,DarkSlateGray
V-0078,PB10CA9776,P-0567,Auto-rickshaw,LightPink
V-0079,PB06HT5634,P-0551,Motorcycle,Chocolate
V-0080,PB10DF4141,P-0423,Motorcycle,Gold
V-0081,KA43VW8993,P-0118,Auto-rickshaw,FireBrick
V-0082,DL19SG3235,P-0563,Auto-rickshaw,DarkMagenta
V-0083,GJ09SF4672,P-0339,Car,Coral
V-0084,GJ32LQ5009,P-0199,Motorcycle,MidnightBlue
V-0085,MP24VZ2763,P-0580,Car,Khaki
V-0086,TN51FT7146,P-0321,Truck,MediumPurple
V-0087,KA44TX7584,P-0369,Auto-rickshaw,MidnightBlue
V-0088,UP32PE9939,P-0368,Car,Aqua
V-0089,KA58NG1253,P-0288,Car,MediumAquaMarine
V-0090,PB41AP6638,P-0020,Motorcycle,DarkGray
V-0091,PB17PZ7735,P-0038,Motorcycle,LightPink
V-0092,RJ15XQ4768,P-0375,Motorcycle,HoneyDew
V-0093,PB33CJ0174,P-0476,Motorcycle,DarkSlateGray
V-0094,KA49NL2936,P-0629,Motorcycle,DarkGreen
V-0095,GJ03FM1030,P-0496,Truck,DarkKhaki
V-0096,TN03SN5919,P-0379,Auto-rickshaw,Lime
V-0097,WB57BZ5310,P-0210,Car,LavenderBlush
V-0098,UP54TP9342,P-0534,Motorcycle,BurlyWood
V-0099,RJ24QX1276,P-0386,Truck,Tomato
V-0100,TN34KV5654,P-0386,Auto-rickshaw,Red
V-0101,MP01ND2714,P-0494,Motorcycle,SlateBlue
V-0102,PB42GD2579,P-0079,Truck,SandyBrown
V-0103,DL43FV1857,P-0617,Auto-rickshaw,DarkSlateGray
V-0104,WB14QR6733,P-0491,Car,LightGoldenRodYellow
V-0105,MH09PD8400,P-0250,Car,SeaGreen
V-0106,KA04DY8465,P-0399,Auto-rickshaw,DarkSalmon
V-0107,MP41AT4645,P-0614,Car,Navy
V-0108,WB39ZW2795,P-0222,Motorcycle,LightCoral
V-0109,MP10VV2980,P-0421,Truck,DarkSeaGreen
V-0110,GJ60LQ3766,P-0172,Auto-rickshaw,DeepSkyBlue
V-0111,KA07AN8264,P-0395,Auto-rickshaw,DarkGoldenRod
V-0112,MP07EX9828,P-0154,Car,SteelBlue
V-0113,PB49CM2136,P-0545,Car,YellowGreen
V-0114,PB27JB8681,P-0442,Auto-rickshaw,LavenderBlush
V-0115,WB51UJ9440,P-0235,Car,LightCyan
V-0116,KA17MF1374,P-0436,Truck,MediumBlue
V-0117,PB27GA0117,P-0613,Car,Yellow
V-0118,MH25RS5176,P-0533,Auto-rickshaw,DarkOliveGreen
V-0119,DL10LQ4282,P-0371,Auto-rickshaw,Gainsboro
V-0120,GJ40GS3338,P-0579,Auto-rickshaw,AntiqueWhite
V-0121,PB31EP7926,P-0566,Truck,LimeGreen
V-0122,MP23UK2263,P-0315,Car,Yellow
V-0123,WB51SD3514,P-0236,Auto-rickshaw,SkyBlue
V-0124,PB40SS2634,P-0347,Auto-rickshaw,Snow
V-0125,DL53DY7134,P-0006,Car,BlueViolet
V-0126,UP15JQ6297,P-0066,Auto-rickshaw,Plum
V-0127,PB19TQ2872,P-0629,Auto-rickshaw,Snow
V-0128,MH13WY8490,P-0450,Truck,Olive
V-0129,MH51QN3796,P-0200,Motorcycle,Gray
V-0130,GJ16RZ1423,P-0037,Truck,HoneyDew
V-0131,GJ43KQ8483,P-0410,Car,LavenderBlush
V-0132,DL36GV9551,P-0071,Truck,FloralWhite
V-0133,UP15QE6619,P-0356,Car,Plum
V-0134,KA27NP8244,P-0268,Truck,MidnightBlue
V-0135,DL52NG8814,P-0349,Truck,DarkGray
V-0136,RJ37MF5566,P-0454,Auto-rickshaw,MintCream
V-0137,MP56AC1107,P-0472,Auto-rickshaw,Chartreuse
V-0138,TN44SV6758,P-0649,Truck,FireBrick
V-0139,PB01SG4707,P-0529,Car,MediumSpringGreen
V-0140,GJ05PE5143,P-0409,Truck,SeaGreen
V-0141,MP18ET3116,P-0224,Auto-rickshaw,Yellow
V-0142,TN48FG3756,P-0205,Motorcycle,LightSteelBlue
V-0143,MP23DC1286,P-0256,Auto-rickshaw,Plum
V-0144,MH49WY7902,P-0629,Truck,LightSalmon
V-0145,GJ32XX9413,P-0636,Truck,Chartreuse
V-0146,KA49XG3639,P-0503,Motorcycle,Turquoise
V-0147,PB52LY0534,P-0056,Truck,MediumSeaGreen
V-0148,KA30ZS7538,P-0404,Truck,SteelBlue
V-0149,MH44FP5332,P-0009,Truck,MintCream
V-0150,UP12PF7723,P-0628,Truck,Violet
V-0151,KA32LL6100,P-0375,Truck,Wheat
V-0152,UP29ED9436,P-0411,Motorcycle,GoldenRod
V-0153,UP52FL6241,P-0103,Motorcycle,Yellow
V-0154,KA31VE8186,P-0150,Motorcycle,FloralWhite
V-0155,PB35TU4916,P-0646,Truck,MediumBlue
V-0156,MP04KS0984,P-0337,Motorcycle,PowderBlue
V-0157,WB54RL5484,P-0261,Truck,Silver
V-0158,GJ36PV5639,P-0370,Car,DarkSlateBlue
V-0159,DL23WZ3260,P-0487,Motorcycle,PaleGreen
V-0160,GJ21SM7323,P-0292,Car,ForestGreen
V-0161,MP19MY2746,P-0391,Truck,Azure
V-0162,MP37KX1297,P-0432,Motorcycle,Teal
V-0163,TN21HG4383,P-0352,Auto-rickshaw,LightGreen
V-0164,WB50WJ9617,P-0278,Auto-rickshaw,Orchid
V-0165,KA12WD3845,P-0424,Truck,SkyBlue
V-0166,TN11KC7753,P-0082,Car,DarkSalmon
V-0167,RJ34UB4301,P-0027,Motorcycle,FloralWhite
V-0168,RJ20FT7261,P-0378,Motorcycle,MistyRose
V-0169,PB54EA5847,P-0135,Truck,Linen
V-0170,WB56NG7289,P-0488,Motorcycle,IndianRed
V-0171,KA38QR9241,P-0553,Auto-rickshaw,MediumAquaMarine
V-0172,PB20XM3722,P-0537,Car,Navy
V-0173,UP24KD0173,P-0453,Car,Cyan
V-0174,KA23GN8060,P-0536,Auto-rickshaw,OrangeRed
V-0175,MH50LH3789,P-0307,Car,FloralWhite
V-0176,GJ13KP6468,P-0562,Motorcycle,DimGray
V-0177,RJ54KG6918,P-0168,Motorcycle,ForestGreen
V-0178,MP52SG8716,P-0530,Truck,Gainsboro
V-0179,TN55BD1809,P-0423,Auto-rickshaw,MediumVioletRed
V-0180,WB18SM5254,P-0633,Car,Aqua
V-0181,MH35AZ4623,P-0156,Truck,DarkMagenta
V-0182,WB47AC0242,P-0129,Auto-rickshaw,White
V-0183,GJ27HV6085,P-0223,Auto-rickshaw,Gainsboro
V-0184,GJ06WY0919,P-0033,Truck,MidnightBlue
V-0185,DL35ME4098,P-0402,Auto-rickshaw,PaleGreen
V-0186,DL50TK7258,P-0013,Motorcycle,FloralWhite
V-0187,TN30TC3416,P-0035,Auto-rickshaw,Lime
V-0188,UP60HR0692,P-0399,Car,RosyBrown
V-0189,WB41HJ0854,P-0260,Motorcycle,ForestGreen
V-0190,TN41LA4524,P-0116,Car,PaleVioletRed
V-0191,TN01ZP7787,P-0406,Motorcycle,Gold
V-0192,DL16DC5545,P-0381,Car,LightCoral
V-0193,GJ42DN1760,P-0062,Motorcycle,Gainsboro
V-0194,TN21ZU5691,P-0500,Auto-rickshaw,Aquamarine
V-0195,MH45KT4108,P-0198,Car,DarkGoldenRod
V-0196,WB36HS3110,P-0497,Motorcycle,FloralWhite
V-0197,GJ21TG9809,P-0557,Motorcycle,DodgerBlue
V-0198,PB10LV8874,P-0028,Truck,LemonChiffon
V-0199,MH50RK3040,P-0465,Car,LightSalmon
V-0200,GJ50QH1038,P-0635,Auto-rickshaw,DarkCyan
V-0201,PB44MP4639,P-0195,Truck,LightSlateGray
V-0202,GJ08CR0718,P-0420,Motorcycle,ForestGreen
V-0203,MH13CE0522,P-0183,Auto-rickshaw,Aqua
V-0204,PB40SG6003,P-0502,Motorcycle,Aquamarine
V-0205,DL01YF8052,P-0621,Car,PapayaWhip
V-0206,MH24PY6815,P-0480,Truck,OrangeRed
V-0207,MP18NT4980,P-0060,Car,FloralWhite
V-0208,PB07CF6314,P-0222,Motorcycle,Red
V-0209,PB43FR2932,P-0198,Auto-rickshaw,BlueViolet
V-0210,MP23SS6998,P-0109,Car,DarkSlateBlue
V-0211,KA36KJ2592,P-0171,Auto-rickshaw,PaleTurquoise
V-0212,GJ36ZH6091,P-0361,Auto-rickshaw,PaleGoldenRod
V-0213,RJ53TQ9227,P-0649,Motorcycle,AliceBlue
V-0214,PB60TJ7413,P-0385,Auto-rickshaw,LightGray
V-0215,MH47AG0268,P-0161,Motorcycle,MediumSpringGreen
V-0216,MH20ZF5160,P-0310,Car,CadetBlue
V-0217,PB33PY2535,P-0283,Car,MistyRose
V-0218,WB23DG9539,P-0039,Motorcycle,Plum
V-0219,UP52HP9324,P-0239,Motorcycle,GoldenRod
V-0220,GJ51MM9441,P-0080,Car,GhostWhite
V-0221,UP03TP1286,P-0610,Car,CornflowerBlue
V-0222,GJ57VK1975,P-0343,Motorcycle,Silver
V-0223,MH41UK4994,P-0617,Car,LightSkyBlue
V-0224,PB37DN3618,P-0327,Motorcycle,BlueViolet
V-0225,RJ29UP1476,P-0052,Motorcycle,Azure
V-0226,UP51KD1353,P-0443,Auto-rickshaw,Lavender
V-0227,MH36KC8222,P-0586,Auto-rickshaw,Crimson
V-0228,KA31PM9361,P-0134,Motorcycle,BurlyWood
V-0229,MP48NF4363,P-0575,Auto-rickshaw,DarkBlue
V-0230,MP06CK5985,P-0332,Truck,Indigo
V-0231,GJ23QA4995,P-0196,Motorcycle,LemonChiffon
V-0232,MP53ZL2390,P-0359,Auto-rickshaw,NavajoWhite
V-0233,TN13SD1406,P-0046,Car,Green
V-0234,TN40YW4714,P-0056,Car,WhiteSmoke
V-0235,DL20LA3425,P-0352,Motorcycle,Fuchsia
V-0236,PB34UP2316,P-0209,Car,DarkSlateBlue
V-0237,MP58RB2791,P-0386,Car,DodgerBlue
V-0238,TN51SG7618,P-0291,Car,Lime
V-0239,RJ43GW5902,P-0069,Car,SandyBrown
V-0240,UP56XK6238,P-0020,Car,DarkGoldenRod
V-0241,WB56QC3259,P-0324,Auto-rickshaw,DarkCyan
V-0242,MH03FN5466,P-0575,Auto-rickshaw,Indigo
V-0243,KA02JJ4954,P-0403,Motorcycle,Olive
V-0244,UP52BG6344,P-0514,Car,AntiqueWhite
V-0245,UP15DX2249,P-0569,Car,Brown
V-0246,PB44QR3727,P-0392,Auto-rickshaw,PeachPuff
V-0247,MP10LH9919,P-0247,Truck,Beige
V-0248,PB09ED8870,P-0460,Motorcycle,Wheat
V-0249,UP45SN2216,P-0142,Auto-rickshaw,DarkTurquoise
V-0250,MP59DB8733,P-0149,Car,SandyBrown
V-0251,GJ54XT5222,P-0189,Auto-rickshaw,SlateBlue
V-0252,UP29TV4486,P-0422,Motorcycle,Blue
V-0253,DL09EU4373,P-0193,Motorcycle,MediumBlue
V-0254,TN15SJ7809,P-0611,Motorcycle,PaleGoldenRod
V-0255,MP31TJ6349,P-0515,Auto-rickshaw,LightSeaGreen
V-0256,KA11EA0246,P-0486,Truck,PaleGoldenRod
V-0257,TN48SE3352,P-0423,Car,DarkOliveGreen
V-0258,WB56QS7497,P-0182,Motorcycle,PeachPuff
V-0259,RJ50BT6233,P-0438,Truck,Chartreuse
V-0260,MP48PN0631,P-0404,Car,Sienna
V-0261,WB53XX4026,P-0463,Auto-rickshaw,PowderBlue
V-0262,PB25NR0808,P-0041,Motorcycle,DarkSeaGreen
V-0263,WB26XU4685,P-0299,Auto-rickshaw,OrangeRed
V-0264,RJ19QB8471,P-0171,Motorcycle,LightSkyBlue
V-0265,WB06TC9592,P-0475,Motorcycle,IndianRed
V-0266,RJ21LE9672,P-0403,Motorcycle,Violet
V-0267,DL17HR2687,P-0466,Car,MidnightBlue
V-0268,DL46LJ8583,P-0094,Auto-rickshaw,Aqua
V-0269,MP11KK2800,P-0524,Truck,Aquamarine
V-0270,KA11WE0841,P-0580,Auto-rickshaw,MediumOrchid
V-0271,UP47UL2961,P-0316,Car,Khaki
V-0272,TN01QG7515,P-0135,Auto-rickshaw,SandyBrown
V-0273,PB52AX3898,P-0511,Motorcycle,ForestGreen
V-0274,WB30KB9833,P-0603,Car,Green
V-0275,PB18QP3402,P-0251,Car,LightPink
V-0276,KA04RA0532,P-0190,Truck,Peru
V-0277,DL04CZ2644,P-0340,Truck,DarkGoldenRod
V-0278,MP37UE7461,P-0626,Truck,Red
V-0279,DL50HJ6209,P-0037,Car,Peru
V-0280,PB05HD4497,P-0438,Truck,DarkViolet
V-0281,RJ34FF0954,P-0540,Car,Ivory
V-0282,PB06MS4706,P-0586,Auto-rickshaw,DarkOliveGreen
V-0283,GJ17NZ5798,P-0624,Motorcycle,GreenYellow
V-0284,MP32NR8070,P-0630,Motorcycle,Gray
V-0285,TN46GE1937,P-0625,Car,PaleVioletRed
V-0286,DL48WV6794,P-0477,Auto-rickshaw,DarkOrange
V-0287,GJ23PR0186,P-0047,Motorcycle,Aquamarine
V-0288,UP51BH9012,P-0289,Truck,LightGoldenRodYellow
V-0289,DL44HK9322,P-0007,Car,LightSkyBlue
V-0290,TN22WY7850,P-0180,Auto-rickshaw,DarkGoldenRod
V-0291,KA31DM8798,P-0037,Truck,PowderBlue
V-0292,RJ60TW4905,P-0474,Truck,Lime
V-0293,PB02ES5794,P-0569,Car,DarkSlateGray
V-0294,UP54AZ8754,P-0645,Motorcycle,Green
V-0295,MP25EC5051,P-0585,Truck,DarkGreen
V-0296,UP27CX6089,P-0033,Auto-rickshaw,Orange
V-0297,TN34HC0613,P-0310,Motorcycle,MediumVioletRed
V-0298,WB33AM8193,P-0095,Motorcycle,LightSalmon
V-0299,GJ60MW5085,P-0195,Truck,LightSlateGray
V-0300,DL53ZN2175,P-0147,Motorcycle,DarkOrange
V-0301,WB25TN0068,P-0038,Truck,Gray
V-0302,MP56CM0756,P-0046,Car,Salmon
V-0303,UP02PH3439,P-0534,Truck,Fuchsia
V-0304,TN19GH7228,P-0206,Car,SandyBrown
V-0305,KA11GA9169,P-0280,Car,SeaShell
V-0306,PB23PG4642,P-0212,Motorcycle,Orange
V-0307,DL20QJ7269,P-0176,Car,Turquoise
V-0308,MH31XB6285,P-0134,Car,MistyRose
V-0309,RJ26EQ9712,P-0089,Auto-rickshaw,Silver
V-0310,GJ20HE8741,P-0632,Car,PeachPuff
V-0311,MP09CV7673,P-0477,Car,BlanchedAlmond
V-0312,UP44RU7710,P-0467,Motorcycle,Peru
V-0313,KA56XG5955,P-0230,Auto-rickshaw,HoneyDew
V-0314,GJ51WH7988,P-0188,Car,LightCoral
V-0315,WB08JM2799,P-0067,Truck,LightSteelBlue
V-0316,MP37DC1753,P-0357,Truck,Gainsboro
V-0317,DL51HM9676,P-0570,Auto-rickshaw,Brown
V-0318,MP16PZ6289,P-0245,Car,LightSeaGreen
V-0319,TN53SL7133,P-0349,Truck,Pink
V-0320,TN12RB9408,P-0558,Auto-rickshaw,CornflowerBlue
V-0321,MP39MP7295,P-0118,Motorcycle,Sienna
V-0322,RJ05QS9772,P-0316,Auto-rickshaw,MediumOrchid
V-0323,WB42RC2277,P-0336,Car,MediumSpringGreen
V-0324,KA29NK9469,P-0151,Auto-rickshaw,DarkGreen
V-0325,TN44XH4990,P-0201,Auto-rickshaw,Teal
V-0326,DL38AZ6623,P-0353,Motorcycle,Purple
V-0327,MH24XZ0014,P-0302,Truck,Beige
V-0328,UP56AL9670,P-0113,Auto-rickshaw,DarkCyan
V-0329,GJ46KK8932,P-0641,Motorcycle,Snow
V-0330,WB09EK5903,P-0178,Auto-rickshaw,Gold
V-0331,UP56SD1176,P-0158,Car,ForestGreen
V-0332,WB43LZ1388,P-0148,Motorcycle,Lime
V-0333,WB58UQ6975,P-0426,Motorcycle,Gainsboro
V-0334,PB28PL5822,P-0466,Motorcycle,BlueViolet
V-0335,RJ39AM3879,P-0191,Truck,FloralWhite
V-0336,PB37JZ9309,P-0421,Auto-rickshaw,LightSlateGray
V-0337,DL38MS2328,P-0378,Truck,Indigo
V-0338,PB06NQ4018,P-0477,Auto-rickshaw,Red
V-0339,DL44RV5120,P-0646,Car,Linen
V-0340,PB50AL7688,P-0352,Truck,LightGreen
V-0341,GJ52HE9792,P-0432,Truck,LightGreen
V-0342,UP04RP9386,P-0578,Car,Crimson
V-0343,MP02GB8284,P-0299,Car,SpringGreen
V-0344,UP09QG4210,P-0285,Car,FloralWhite
V-0345,MP12XT7318,P-0115,Truck,Indigo
V-0346,UP51SM8641,P-0180,Car,LightGreen
V-0347,DL10QV8126,P-0352,Auto-rickshaw,MediumTurquoise
V-0348,TN43LR3455,P-0393,Truck,Pink
V-0349,UP49VB7603,P-0056,Auto-rickshaw,MediumSeaGreen
V-0350,UP31TU8725,P-0488,Motorcycle,Gray
V-0351,RJ31GN7123,P-0389,Car,SteelBlue
V-0352,WB25SZ0673,P-0296,Car,Orange
V-0353,GJ55LY4467,P-0107,Truck,LightCyan
V-0354,UP52CR6409,P-0277,Auto-rickshaw,RosyBrown
V-0355,MP50EJ2948,P-0248,Truck,Aqua
V-0356,MH44AB6738,P-0561,Car,FireBrick
V-0357,DL44LF4642,P-0538,Truck,MintCream
V-0358,MH02QB9735,P-0198,Motorcycle,LightYellow
V-0359,DL46YC9908,P-0614,Motorcycle,WhiteSmoke
V-0360,MP52ZX3019,P-0385,Truck,NavajoWhite
V-0361,WB43YR4529,P-0302,Auto-rickshaw,Ivory
V-0362,UP11UG1023,P-0332,Auto-rickshaw,OldLace
V-0363,GJ04GV2916,P-0398,Auto-rickshaw,DarkSlateGray
V-0364,WB60EK8062,P-0072,Car,PeachPuff
V-0365,PB50LQ1741,P-0148,Auto-rickshaw,BlueViolet
V-0366,DL03BP4106,P-0266,Auto-rickshaw,LightSeaGreen
V-0367,WB10RA0620,P-0020,Auto-rickshaw,SeaGreen
V-0368,KA45HK0061,P-0273,Auto-rickshaw,ForestGreen
V-0369,RJ26WU1149,P-0490,Motorcycle,Gray
V-0370,RJ45VM9294,P-0004,Truck,Tomato
V-0371,UP26BZ1486,P-0342,Truck,PowderBlue
V-0372,GJ06WU4751,P-0548,Motorcycle,LightGreen
V-0373,PB03ZR4897,P-0181,Auto-rickshaw,Coral
V-0374,GJ32CR3105,P-0110,Motorcycle,Aquamarine
V-0375,TN02TQ8016,P-0037,Auto-rickshaw,AliceBlue
V-0376,PB42HN7362,P-0065,Car,MediumSlateBlue
V-0377,GJ04JT6644,P-0038,Car,Khaki
V-0378,PB30YW8792,P-0217,Motorcycle,SteelBlue
V-0379,TN60BT8011,P-0594,Car,MediumSlateBlue
V-0380,MP03FR0236,P-0483,Motorcycle,Maroon
V-0381,MH58HV7475,P-0648,Motorcycle,SkyBlue
V-0382,DL53VC9749,P-0606,Motorcycle,LightGreen
V-0383,TN28JW6587,P-0065,Truck,ForestGreen
V-0384,MP35DW3494,P-0124,Car,DarkGoldenRod
V-0385,KA22BG6802,P-0608,Motorcycle,OrangeRed
V-0386,PB11LY0667,P-0379,Motorcycle,LightSeaGreen
V-0387,MP25UA7979,P-0103,Car,LavenderBlush
V-0388,MH12YS9728,P-0007,Truck,MediumBlue
V-0389,WB45DD4440,P-0427,Auto-rickshaw,Azure
V-0390,TN12QA2950,P-0422,Auto-rickshaw,BlanchedAlmond
V-0391,DL41VH6862,P-0627,Car,Indigo
V-0392,TN13CN1568,P-0572,Truck,Silver
V-0393,PB15MR3410,P-0553,Truck,White
V-0394,TN08VS7773,P-0055,Auto-rickshaw,Crimson
V-0395,KA43YB5967,P-0181,Truck,LightGray
V-0396,RJ17JV7425,P-0215,Car,Pink
V-0397,MH60ND0477,P-0107,Auto-rickshaw,BurlyWood
V-0398,DL05XT9711,P-0528,Truck,Linen
V-0399,TN48SH1805,P-0430,Truck,SlateGray
V-0400,DL16TW6153,P-0234,Motorcycle,PaleVioletRed
