case_id,person_id,role
CASE-063,P-0593,Victim
CASE-063,P-0580,Witness
CASE-063,P-0344,Suspect
CASE-063,P-0631,Person of Interest
CASE-063,P-0307,Suspect
CASE-064,P-0225,Witness
CASE-064,P-0004,Witness
CASE-064,P-0229,Person of Interest
CASE-064,P-0236,Victim
CASE-064,P-0478,Person of Interest
CASE-065,P-0410,Victim
CASE-065,P-0189,Suspect
CASE-065,P-0007,Suspect
CASE-066,P-0031,Victim
CASE-066,P-0569,Person of Interest
CASE-066,P-0118,Witness
CASE-066,P-0146,Victim
CASE-067,P-0031,Witness
CASE-067,P-0204,Victim
CASE-068,P-0225,Victim
CASE-068,P-0269,Witness
CASE-068,P-0179,Witness
CASE-069,P-0023,Suspect
CASE-069,P-0181,Suspect
CASE-069,P-0269,Witness
CASE-070,P-0114,Witness
CASE-070,P-0347,Victim
CASE-070,P-0216,Victim
CASE-070,P-0313,Witness
CASE-070,P-0468,Person of Interest
CASE-071,P-0122,Witness
CASE-071,P-0148,Witness
CASE-072,P-0546,Victim
CASE-072,P-0388,Person of Interest
CASE-072,P-0384,Witness
CASE-073,P-0631,Witness
CASE-073,P-0602,Victim
CASE-074,P-0336,Victim
CASE-074,P-0254,Witness
CASE-074,P-0055,Person of Interest
CASE-075,P-0084,Suspect
CASE-075,P-0482,Witness
CASE-075,P-0630,Person of Interest
CASE-076,P-0384,Victim
CASE-076,P-0511,Person of Interest
CASE-076,P-0532,Person of Interest
CASE-076,P-0476,Person of Interest
CASE-076,P-0184,Victim
CASE-076,P-0330,Person of Interest
CASE-077,P-0038,Person of Interest
CASE-077,P-0213,Witness
CASE-077,P-0225,Victim
CASE-077,P-0208,Person of Interest
CASE-077,P-0463,Person of Interest
CASE-077,P-0241,Witness
CASE-078,P-0261,Suspect
CASE-078,P-0564,Victim
CASE-078,P-0087,Person of Interest
CASE-078,P-0138,Victim
CASE-079,P-0598,Victim
CASE-079,P-0043,Person of Interest
CASE-079,P-0477,Person of Interest
CASE-080,P-0443,Victim
CASE-080,P-0419,Person of Interest
CASE-080,P-0377,Suspect
CASE-080,P-0510,Witness
CASE-080,P-0325,Person of Interest
CASE-034,P-0579,Suspect
CASE-010,P-0579,Person of Interest
CASE-011,P-0033,Suspect
CASE-038,P-0033,Person of Interest
CASE-066,P-0423,Suspect
CASE-070,P-0423,Person of Interest
CASE-011,P-0178,Suspect
CASE-036,P-0178,Person of Interest
CASE-013,P-0613,Suspect
CASE-016,P-0613,Person of Interest
CASE-047,P-0505,Suspect
CASE-005,P-0505,Person of Interest
CASE-026,P-0438,Suspect
CASE-043,P-0438,Person of Interest
CASE-043,P-0494,Suspect
CASE-033,P-0494,Person of Interest
CASE-036,P-0646,Suspect
CASE-025,P-0646,Person of Interest
CASE-078,P-0332,Suspect
CASE-018,P-0332,Person of Interest
CASE-070,P-0379,Suspect
CASE-034,P-0379,Person of Interest
CASE-039,P-0445,Suspect
CASE-037,P-0445,Person of Interest
CASE-052,P-0530,Suspect
CASE-075,P-0530,Person of Interest
CASE-002,P-0007,Suspect
CASE-061,P-0007,Person of Interest
CASE-066,P-0191,Suspect
CASE-020,P-0191,Person of Interest
CASE-030,P-0502,Suspect
CASE-027,P-0502,Person of Interest
CASE-030,P-0090,Witness
CASE-067,P-0090,Suspect
CASE-071,P-0121,Witness
CASE-060,P-0121,Suspect
CASE-060,P-0182,Witness
CASE-044,P-0182,Suspect
CASE-011,P-0046,Witness
CASE-041,P-0046,Suspect
CASE-025,P-0068,Witness
CASE-055,P-0068,Suspect
CASE-054,P-0104,Witness
CASE-027,P-0104,Suspect
CASE-058,P-0138,Witness
CASE-072,P-0138,Suspect
CASE-048,P-0511,Witness
CASE-018,P-0511,Suspect
CASE-017,P-0251,Witness
CASE-040,P-0251,Suspect
CASE-002,P-0582,Witness
CASE-064,P-0582,Suspect
CASE-046,P-0434,Witness
CASE-044,P-0434,Suspect
CASE-054,P-0308,Witness
CASE-055,P-0308,Suspect
CASE-052,P-0629,Witness
CASE-069,P-0629,Suspect
CASE-042,P-0236,Witness
CASE-076,P-0236,Suspect
CASE-073,P-0254,Witness
CASE-005,P-0254,Suspect
CASE-018,P-0005,Witness
CASE-020,P-0005,Suspect
