event_id,case_id,person_id,event_type,timestamp,location,notes
EVT-0038,CASE-052,P-0226,Vehicle Sighted,2023-04-25 17:00:00,Berhampur,Witness Statement recorded during Financial Fraud investigation.
EVT-0039,CASE-042,P-0467,Vehicle Sighted,2023-06-13 18:00:00,Adoni,Call Made recorded during Smuggling investigation.
EVT-0040,CASE-043,P-0536,Evidence Collected,2023-09-08 19:00:00,Erode,Call Made recorded during Smuggling investigation.
EVT-0041,CASE-004,P-0238,Money Transfer,2024-02-12 16:00:00,Sultan Pur Majra,Location Ping recorded during Kidnapping investigation.
EVT-0042,CASE-075,P-0244,Location Ping,2024-03-29 20:00:00,Akola,Call Made recorded during Drug Trafficking investigation.
EVT-0043,CASE-056,P-0061,Call Made,2025-01-13 23:00:00,Patna,Location Ping recorded during Vehicle Theft investigation.
EVT-0044,CASE-078,P-0159,Evidence Collected,2025-07-16 20:00:00,Narasaraopet,Suspect Movement recorded during Financial Fraud investigation.
EVT-0045,CASE-012,P-0345,Witness Statement,2025-07-26 19:00:00,Bijapur,Money Transfer recorded during Money Laundering investigation.
EVT-0046,CASE-064,P-0239,Money Transfer,2024-10-11 07:00:00,Kalyan-Dombivli,Witness Statement recorded during Cybercrime investigation.
EVT-0047,CASE-043,P-0385,Evidence Collected,2023-09-12 23:00:00,Kumbakonam,Witness Statement recorded during Smuggling investigation.
EVT-0048,CASE-030,P-0120,Call Made,2023-05-24 10:00:00,Vijayanagaram,Location Ping recorded during Financial Fraud investigation.
EVT-0049,CASE-010,P-0355,Call Made,2024-07-14 12:00:00,Hindupur,Vehicle Sighted recorded during Extortion investigation.
EVT-0050,CASE-013,P-0154,Evidence Collected,2024-04-10 16:00:00,Bardhaman,Money Transfer recorded during Kidnapping investigation.
EVT-0051,CASE-022,P-0630,Evidence Collected,2025-02-07 04:00:00,Ambala,Money Transfer recorded during Money Laundering investigation.
EVT-0052,CASE-049,P-0562,Money Transfer,2026-09-01 16:00:00,Avadi,Evidence Collected recorded during Money Laundering investigation.
EVT-0053,CASE-036,P-0396,Evidence Collected,2023-07-29 19:00:00,Hapur,Call Made recorded during Robbery investigation.
EVT-0054,CASE-043,P-0310,Witness Statement,2023-08-28 01:00:00,Surendranagar Dudhrej,Witness Statement recorded during Smuggling investigation.
EVT-0055,CASE-019,P-0390,Evidence Collected,2024-05-29 04:00:00,Sambalpur,Suspect Movement recorded during Cybercrime investigation.
EVT-0056,CASE-060,P-0198,Evidence Collected,2025-08-09 02:00:00,Bhubaneswar,Witness Statement recorded during Vehicle Theft investigation.
EVT-0057,CASE-065,P-0364,Witness Statement,2023-04-02 02:00:00,Davanagere,Location Ping recorded during Money Laundering investigation.
EVT-0058,CASE-074,P-0628,Vehicle Sighted,2025-10-08 01:00:00,Rourkela,Evidence Collected recorded during Extortion investigation.
EVT-0059,CASE-066,P-0542,Witness Statement,2025-06-06 02:00:00,Ambala,Evidence Collected recorded during Smuggling investigation.
EVT-0060,CASE-018,P-0083,Suspect Movement,2026-05-15 19:00:00,Akola,Location Ping recorded during Kidnapping investigation.
EVT-0061,CASE-069,P-0402,Location Ping,2026-01-17 15:00:00,Thrissur,Call Made recorded during Financial Fraud investigation.
EVT-0062,CASE-047,P-0532,Suspect Movement,2026-01-04 11:00:00,Malegaon,Call Made recorded during Financial Fraud investigation.
EVT-0063,CASE-055,P-0452,Call Made,2026-03-31 16:00:00,Burhanpur,Call Made recorded during Kidnapping investigation.
EVT-0064,CASE-011,P-0322,Call Made,2026-09-30 13:00:00,Pondicherry,Money Transfer recorded during Smuggling investigation.
EVT-0065,CASE-024,P-0432,Money Transfer,2026-02-25 02:00:00,Deoghar,Vehicle Sighted recorded during Drug Trafficking investigation.
EVT-0066,CASE-058,P-0108,Money Transfer,2023-02-22 19:00:00,Warangal,Location Ping recorded during Kidnapping investigation.
EVT-0067,CASE-040,P-0187,Evidence Collected,2023-05-10 14:00:00,Farrukhabad,Suspect Movement recorded during Robbery investigation.
EVT-0068,CASE-043,P-0365,Location Ping,2023-09-11 17:00:00,Haldia,Witness Statement recorded during Smuggling investigation.
EVT-0069,CASE-035,P-0176,Money Transfer,2024-01-06 03:00:00,Tiruvottiyur,Witness Statement recorded during Vehicle Theft investigation.
EVT-0070,CASE-078,P-0214,Evidence Collected,2025-07-16 10:00:00,Allahabad,Vehicle Sighted recorded during Financial Fraud investigation.
EVT-0071,CASE-033,P-0251,Call Made,2023-04-14 08:00:00,Ludhiana,Call Made recorded during Robbery investigation.
EVT-0072,CASE-074,P-0406,Evidence Collected,2025-10-07 05:00:00,Bhatpara,Location Ping recorded during Extortion investigation.
EVT-0073,CASE-030,P-0153,Vehicle Sighted,2023-05-28 06:00:00,Dewas,Evidence Collected recorded during Financial Fraud investigation.
EVT-0074,CASE-014,P-0094,Call Made,2026-03-08 07:00:00,Yamunanagar,Suspect Movement recorded during Drug Trafficking investigation.
EVT-0075,CASE-034,P-0024,Witness Statement,2024-06-03 07:00:00,Khammam,Call Made recorded during Money Laundering investigation.
EVT-0076,CASE-038,P-0092,Call Made,2025-02-15 07:00:00,Secunderabad,Evidence Collected recorded during Financial Fraud investigation.
EVT-0077,CASE-005,P-0625,Call Made,2024-07-18 10:00:00,Begusarai,Vehicle Sighted recorded during Kidnapping investigation.
EVT-0078,CASE-058,P-0493,Location Ping,2023-02-21 09:00:00,Thrissur,Witness Statement recorded during Kidnapping investigation.
EVT-0079,CASE-012,P-0226,Vehicle Sighted,2025-08-08 03:00:00,Kulti,Witness Statement recorded during Money Laundering investigation.
EVT-0080,CASE-042,P-0520,Vehicle Sighted,2023-06-06 20:00:00,Thoothukudi,Location Ping recorded during Smuggling investigation.
EVT-0081,CASE-075,P-0154,Witness Statement,2024-03-17 15:00:00,Bellary,Vehicle Sighted recorded during Drug Trafficking investigation.
EVT-0082,CASE-061,P-0463,Call Made,2025-03-19 04:00:00,Munger,Witness Statement recorded during Cybercrime investigation.
EVT-0083,CASE-077,P-0176,Evidence Collected,2026-06-02 15:00:00,Kottayam,Vehicle Sighted recorded during Money Laundering investigation.
EVT-0084,CASE-011,P-0499,Witness Statement,2026-10-13 17:00:00,Mira-Bhayandar,Evidence Collected recorded during Smuggling investigation.
EVT-0085,CASE-026,P-0217,Call Made,2026-01-06 07:00:00,Bharatpur,Location Ping recorded during Kidnapping investigation.
EVT-0086,CASE-047,P-0636,Evidence Collected,2026-01-07 21:00:00,Arrah,Evidence Collected recorded during Financial Fraud investigation.
EVT-0087,CASE-058,P-0248,Vehicle Sighted,2023-02-22 02:00:00,Mahbubnagar,Vehicle Sighted recorded during Kidnapping investigation.
EVT-0088,CASE-017,P-0158,Money Transfer,2025-10-01 00:00:00,Kolkata,Evidence Collected recorded during Cybercrime investigation.
EVT-0089,CASE-057,P-0102,Suspect Movement,2026-03-01 13:00:00,Srikakulam,Location Ping recorded during Vehicle Theft investigation.
EVT-0090,CASE-059,P-0090,Evidence Collected,2026-11-27 01:00:00,Gorakhpur,Money Transfer recorded during Robbery investigation.
EVT-0091,CASE-069,P-0353,Evidence Collected,2026-01-18 17:00:00,Muzaffarpur,Suspect Movement recorded during Financial Fraud investigation.
EVT-0092,CASE-044,P-0187,Suspect Movement,2023-06-09 14:00:00,Sikar,Witness Statement recorded during Assault investigation.
EVT-0093,CASE-035,P-0611,Witness Statement,2024-01-18 17:00:00,Pudukkottai,Money Transfer recorded during Vehicle Theft investigation.
EVT-0094,CASE-029,P-0577,Witness Statement,2026-12-13 02:00:00,Ambarnath,Witness Statement recorded during Vehicle Theft investigation.
EVT-0095,CASE-056,P-0372,Vehicle Sighted,2025-01-23 07:00:00,Ongole,Call Made recorded during Vehicle Theft investigation.
EVT-0096,CASE-048,P-0332,Suspect Movement,2024-05-09 21:00:00,Navi Mumbai,Location Ping recorded during Extortion investigation.
EVT-0097,CASE-033,P-0396,Call Made,2023-04-11 23:00:00,Hubli–Dharwad,Suspect Movement recorded during Robbery investigation.
EVT-0098,CASE-044,P-0214,Money Transfer,2023-06-19 09:00:00,Vijayawada,Witness Statement recorded during Assault investigation.
EVT-0099,CASE-002,P-0563,Witness Statement,2023-07-20 16:00:00,Dehri,Vehicle Sighted recorded during Smuggling investigation.
EVT-0100,CASE-002,P-0343,Location Ping,2023-08-06 02:00:00,Nadiad,Suspect Movement recorded during Smuggling investigation.
EVT-0101,CASE-023,P-0004,Evidence Collected,2023-02-14 10:00:00,Rajpur Sonarpur,Evidence Collected recorded during Financial Fraud investigation.
EVT-0102,CASE-056,P-0423,Money Transfer,2025-01-13 21:00:00,Raichur,Money Transfer recorded during Vehicle Theft investigation.
EVT-0103,CASE-078,P-0166,Vehicle Sighted,2025-07-17 05:00:00,Phagwara,Call Made recorded during Financial Fraud investigation.
EVT-0104,CASE-045,P-0401,Vehicle Sighted,2024-04-30 16:00:00,Nanded,Evidence Collected recorded during Extortion investigation.
EVT-0105,CASE-025,P-0201,Vehicle Sighted,2026-09-05 04:00:00,Gorakhpur,Witness Statement recorded during Financial Fraud investigation.
EVT-0106,CASE-035,P-0272,Money Transfer,2024-01-17 22:00:00,Bongaigaon,Call Made recorded during Vehicle Theft investigation.
EVT-0107,CASE-074,P-0537,Vehicle Sighted,2025-10-07 02:00:00,Machilipatnam,Vehicle Sighted recorded during Extortion investigation.
EVT-0108,CASE-036,P-0161,Evidence Collected,2023-07-23 22:00:00,Agra,Call Made recorded during Robbery investigation.
EVT-0109,CASE-035,P-0346,Suspect Movement,2024-01-06 09:00:00,Gandhinagar,Location Ping recorded during Vehicle Theft investigation.
EVT-0110,CASE-075,P-0459,Money Transfer,2024-03-28 05:00:00,Ghaziabad,Evidence Collected recorded during Drug Trafficking investigation.
EVT-0111,CASE-012,P-0628,Money Transfer,2025-08-01 21:00:00,Bharatpur,Evidence Collected recorded during Money Laundering investigation.
EVT-0112,CASE-012,P-0522,Call Made,2025-07-28 20:00:00,Arrah,Witness Statement recorded during Money Laundering investigation.
EVT-0113,CASE-021,P-0556,Call Made,2025-10-30 07:00:00,Medininagar,Location Ping recorded during Cybercrime investigation.
EVT-0114,CASE-036,P-0352,Evidence Collected,2023-07-16 16:00:00,Jamshedpur,Suspect Movement recorded during Robbery investigation.
EVT-0115,CASE-059,P-0047,Money Transfer,2026-12-02 19:00:00,Rajkot,Money Transfer recorded during Robbery investigation.
EVT-0116,CASE-011,P-0126,Evidence Collected,2026-10-07 10:00:00,Mahbubnagar,Vehicle Sighted recorded during Smuggling investigation.
EVT-0117,CASE-047,P-0467,Money Transfer,2026-01-09 20:00:00,Ghaziabad,Suspect Movement recorded during Financial Fraud investigation.
EVT-0118,CASE-025,P-0075,Call Made,2026-09-17 12:00:00,Adoni,Location Ping recorded during Financial Fraud investigation.
EVT-0119,CASE-018,P-0571,Evidence Collected,2026-05-10 14:00:00,Durg,Suspect Movement recorded during Kidnapping investigation.
EVT-0120,CASE-063,P-0338,Suspect Movement,2026-04-07 20:00:00,Kanpur,Suspect Movement recorded during Cybercrime investigation.
EVT-0121,CASE-078,P-0156,Vehicle Sighted,2025-07-15 07:00:00,Kolhapur,Location Ping recorded during Financial Fraud investigation.
EVT-0122,CASE-004,P-0488,Evidence Collected,2024-02-13 21:00:00,Morbi,Evidence Collected recorded during Kidnapping investigation.
EVT-0123,CASE-005,P-0140,Suspect Movement,2024-07-24 00:00:00,Durgapur,Call Made recorded during Kidnapping investigation.
EVT-0124,CASE-013,P-0339,Call Made,2024-04-23 04:00:00,Gandhinagar,Suspect Movement recorded during Kidnapping investigation.
EVT-0125,CASE-048,P-0224,Location Ping,2024-05-21 21:00:00,Sikar,Suspect Movement recorded during Extortion investigation.
EVT-0126,CASE-067,P-0067,Location Ping,2025-10-30 10:00:00,Ulhasnagar,Evidence Collected recorded during Assault investigation.
EVT-0127,CASE-007,P-0287,Suspect Movement,2024-12-15 04:00:00,Haridwar,Evidence Collected recorded during Robbery investigation.
EVT-0128,CASE-046,P-0380,Suspect Movement,2023-06-08 23:00:00,Begusarai,Evidence Collected recorded during Smuggling investigation.
EVT-0129,CASE-019,P-0262,Location Ping,2024-05-31 14:00:00,Hajipur,Witness Statement recorded during Cybercrime investigation.
EVT-0130,CASE-031,P-0195,Money Transfer,2023-09-27 09:00:00,Eluru,Evidence Collected recorded during Vehicle Theft investigation.
EVT-0131,CASE-017,P-0197,Location Ping,2025-10-02 17:00:00,Dehradun,Evidence Collected recorded during Cybercrime investigation.
EVT-0132,CASE-022,P-0009,Money Transfer,2025-01-27 06:00:00,Raiganj,Suspect Movement recorded during Money Laundering investigation.
EVT-0133,CASE-064,P-0129,Evidence Collected,2024-09-30 05:00:00,Kamarhati,Call Made recorded during Cybercrime investigation.
EVT-0134,CASE-039,P-0296,Call Made,2026-11-26 17:00:00,Chandigarh,Suspect Movement recorded during Extortion investigation.
EVT-0135,CASE-004,P-0364,Money Transfer,2024-02-02 08:00:00,Shahjahanpur,Vehicle Sighted recorded during Kidnapping investigation.
EVT-0136,CASE-037,P-0190,Evidence Collected,2025-04-10 12:00:00,Ghaziabad,Money Transfer recorded during Vehicle Theft investigation.
EVT-0137,CASE-064,P-0513,Call Made,2024-10-13 04:00:00,Sonipat,Location Ping recorded during Cybercrime investigation.
EVT-0138,CASE-020,P-0283,Evidence Collected,2023-08-22 05:00:00,Kavali,Money Transfer recorded during Extortion investigation.
EVT-0139,CASE-026,P-0459,Money Transfer,2026-01-07 14:00:00,Vijayawada,Suspect Movement recorded during Kidnapping investigation.
EVT-0140,CASE-003,P-0270,Vehicle Sighted,2023-07-09 17:00:00,Moradabad,Money Transfer recorded during Money Laundering investigation.
EVT-0141,CASE-063,P-0566,Evidence Collected,2026-04-06 04:00:00,Gaya,Money Transfer recorded during Cybercrime investigation.
EVT-0142,CASE-044,P-0619,Vehicle Sighted,2023-06-18 18:00:00,Jalna,Evidence Collected recorded during Assault investigation.
EVT-0143,CASE-072,P-0167,Suspect Movement,2024-04-25 17:00:00,Guntakal,Evidence Collected recorded during Vehicle Theft investigation.
EVT-0144,CASE-064,P-0397,Vehicle Sighted,2024-10-05 18:00:00,Ludhiana,Vehicle Sighted recorded during Cybercrime investigation.
EVT-0145,CASE-077,P-0445,Evidence Collected,2026-06-15 15:00:00,Bardhaman,Suspect Movement recorded during Money Laundering investigation.
EVT-0146,CASE-074,P-0244,Call Made,2025-10-07 03:00:00,Gorakhpur,Call Made recorded during Extortion investigation.
EVT-0147,CASE-065,P-0055,Location Ping,2023-04-05 02:00:00,Davanagere,Money Transfer recorded during Money Laundering investigation.
EVT-0148,CASE-029,P-0113,Location Ping,2026-12-20 19:00:00,Guna,Witness Statement recorded during Vehicle Theft investigation.
EVT-0149,CASE-028,P-0189,Suspect Movement,2026-04-12 16:00:00,Haridwar,Evidence Collected recorded during Smuggling investigation.
EVT-0150,CASE-034,P-0295,Witness Statement,2024-05-22 12:00:00,Dewas,Vehicle Sighted recorded during Money Laundering investigation.
EVT-0151,CASE-052,P-0342,Location Ping,2023-04-17 21:00:00,Panvel,Suspect Movement recorded during Financial Fraud investigation.
EVT-0152,CASE-054,P-0029,Location Ping,2023-01-10 05:00:00,Bijapur,Location Ping recorded during Extortion investigation.
EVT-0153,CASE-019,P-0321,Call Made,2024-05-27 23:00:00,Raurkela Industrial Township,Money Transfer recorded during Cybercrime investigation.
EVT-0154,CASE-008,P-0115,Evidence Collected,2023-06-19 13:00:00,Bhalswa Jahangir Pur,Evidence Collected recorded during Smuggling investigation.
EVT-0155,CASE-019,P-0232,Vehicle Sighted,2024-06-02 23:00:00,Shahjahanpur,Suspect Movement recorded during Cybercrime investigation.
EVT-0156,CASE-067,P-0614,Evidence Collected,2025-11-04 15:00:00,Unnao,Suspect Movement recorded during Assault investigation.
EVT-0157,CASE-040,P-0077,Evidence Collected,2023-05-09 09:00:00,Guntur,Witness Statement recorded during Robbery investigation.
EVT-0158,CASE-037,P-0447,Vehicle Sighted,2025-04-11 05:00:00,Nanded,Suspect Movement recorded during Vehicle Theft investigation.
EVT-0159,CASE-036,P-0328,Money Transfer,2023-07-28 20:00:00,Thoothukudi,Location Ping recorded during Robbery investigation.
EVT-0160,CASE-006,P-0360,Vehicle Sighted,2024-03-17 15:00:00,Phusro,Witness Statement recorded during Cybercrime investigation.
EVT-0161,CASE-038,P-0525,Location Ping,2025-02-07 10:00:00,Gaya,Vehicle Sighted recorded during Financial Fraud investigation.
EVT-0162,CASE-035,P-0350,Suspect Movement,2024-01-20 03:00:00,Mau,Call Made recorded during Vehicle Theft investigation.
EVT-0163,CASE-023,P-0611,Vehicle Sighted,2023-02-03 05:00:00,Sagar,Call Made recorded during Financial Fraud investigation.
EVT-0164,CASE-070,P-0576,Witness Statement,2026-05-28 21:00:00,Parbhani,Location Ping recorded during Drug Trafficking investigation.
EVT-0165,CASE-049,P-0077,Location Ping,2026-09-07 02:00:00,Bhilai,Suspect Movement recorded during Money Laundering investigation.
EVT-0166,CASE-041,P-0535,Witness Statement,2026-04-12 00:00:00,Bangalore,Call Made recorded during Money Laundering investigation.
EVT-0167,CASE-040,P-0537,Location Ping,2023-05-09 01:00:00,Dewas,Location Ping recorded during Robbery investigation.
EVT-0168,CASE-078,P-0381,Location Ping,2025-07-18 03:00:00,Kochi,Vehicle Sighted recorded during Financial Fraud investigation.
EVT-0169,CASE-071,P-0310,Suspect Movement,2025-11-02 01:00:00,Bhalswa Jahangir Pur,Witness Statement recorded during Cybercrime investigation.
EVT-0170,CASE-055,P-0538,Suspect Movement,2026-04-15 01:00:00,Hajipur,Call Made recorded during Kidnapping investigation.
EVT-0171,CASE-020,P-0527,Money Transfer,2023-08-19 15:00:00,Parbhani,Money Transfer recorded during Extortion investigation.
EVT-0172,CASE-033,P-0617,Evidence Collected,2023-04-29 00:00:00,Dhule,Money Transfer recorded during Robbery investigation.
EVT-0173,CASE-040,P-0276,Witness Statement,2023-04-24 15:00:00,Sri Ganganagar,Location Ping recorded during Robbery investigation.
EVT-0174,CASE-065,P-0329,Money Transfer,2023-03-31 14:00:00,Udupi,Money Transfer recorded during Money Laundering investigation.
EVT-0175,CASE-065,P-0346,Call Made,2023-03-24 11:00:00,Yamunanagar,Vehicle Sighted recorded during Money Laundering investigation.
EVT-0176,CASE-052,P-0306,Witness Statement,2023-04-10 20:00:00,Chinsurah,Witness Statement recorded during Financial Fraud investigation.
EVT-0177,CASE-030,P-0607,Witness Statement,2023-05-31 04:00:00,Thrissur,Vehicle Sighted recorded during Financial Fraud investigation.
EVT-0178,CASE-018,P-0212,Call Made,2026-04-27 08:00:00,Tezpur,Call Made recorded during Kidnapping investigation.
EVT-0179,CASE-052,P-0143,Evidence Collected,2023-04-06 09:00:00,New Delhi,Location Ping recorded during Financial Fraud investigation.
EVT-0180,CASE-030,P-0640,Witness Statement,2023-05-31 11:00:00,Patna,Suspect Movement recorded during Financial Fraud investigation.
EVT-0181,CASE-062,P-0519,Vehicle Sighted,2025-03-24 18:00:00,Sri Ganganagar,Location Ping recorded during Robbery investigation.
EVT-0182,CASE-067,P-0350,Location Ping,2025-11-05 16:00:00,Thiruvananthapuram,Location Ping recorded during Assault investigation.
EVT-0183,CASE-004,P-0330,Location Ping,2024-02-13 00:00:00,South Dumdum,Vehicle Sighted recorded during Kidnapping investigation.
EVT-0184,CASE-077,P-0370,Suspect Movement,2026-06-16 15:00:00,Silchar,Money Transfer recorded during Money Laundering investigation.
EVT-0185,CASE-080,P-0085,Witness Statement,2024-10-11 18:00:00,Malda,Witness Statement recorded during Extortion investigation.
EVT-0186,CASE-014,P-0042,Vehicle Sighted,2026-03-16 08:00:00,Bellary,Vehicle Sighted recorded during Drug Trafficking investigation.
EVT-0187,CASE-065,P-0367,Money Transfer,2023-03-30 13:00:00,Akola,Witness Statement recorded during Money Laundering investigation.
EVT-0188,CASE-011,P-0200,Vehicle Sighted,2026-10-11 18:00:00,Sangli-Miraj & Kupwad,Witness Statement recorded during Smuggling investigation.
EVT-0189,CASE-007,P-0203,Call Made,2024-12-06 17:00:00,Mirzapur,Location Ping recorded during Robbery investigation.
EVT-0190,CASE-050,P-0002,Vehicle Sighted,2024-07-02 04:00:00,Patna,Vehicle Sighted recorded during Money Laundering investigation.
EVT-0191,CASE-018,P-0145,Evidence Collected,2026-05-08 00:00:00,Korba,Vehicle Sighted recorded during Kidnapping investigation.
EVT-0192,CASE-036,P-0124,Call Made,2023-07-14 22:00:00,Bhiwandi,Location Ping recorded during Robbery investigation.
EVT-0193,CASE-030,P-0630,Location Ping,2023-06-01 09:00:00,Raiganj,Money Transfer recorded during Financial Fraud investigation.
EVT-0194,CASE-058,P-0422,Witness Statement,2023-02-18 07:00:00,Bhilai,Evidence Collected recorded during Kidnapping investigation.
EVT-0195,CASE-040,P-0035,Location Ping,2023-05-07 11:00:00,Patiala,Call Made recorded during Robbery investigation.
EVT-0196,CASE-009,P-0310,Money Transfer,2023-04-01 22:00:00,Bharatpur,Evidence Collected recorded during Cybercrime investigation.
EVT-0197,CASE-023,P-0325,Suspect Movement,2023-02-06 10:00:00,Bulandshahr,Call Made recorded during Financial Fraud investigation.
EVT-0198,CASE-036,P-0026,Vehicle Sighted,2023-07-19 22:00:00,Durg,Location Ping recorded during Robbery investigation.
EVT-0199,CASE-015,P-0442,Money Transfer,2024-06-17 21:00:00,Amravati,Call Made recorded during Money Laundering investigation.
EVT-0200,CASE-066,P-0157,Call Made,2025-06-12 01:00:00,Chandigarh,Call Made recorded during Smuggling investigation.
EVT-0201,CASE-014,P-0091,Money Transfer,2026-02-26 08:00:00,Haldia,Vehicle Sighted recorded during Drug Trafficking investigation.
EVT-0202,CASE-066,P-0046,Vehicle Sighted,2025-06-08 13:00:00,Bijapur,Witness Statement recorded during Smuggling investigation.
EVT-0203,CASE-051,P-0166,Vehicle Sighted,2026-05-13 04:00:00,Begusarai,Call Made recorded during Vehicle Theft investigation.
EVT-0204,CASE-080,P-0032,Call Made,2024-10-11 21:00:00,Motihari,Call Made recorded during Extortion investigation.
EVT-0205,CASE-079,P-0333,Vehicle Sighted,2024-07-23 16:00:00,Coimbatore,Money Transfer recorded during Financial Fraud investigation.
EVT-0206,CASE-051,P-0144,Witness Statement,2026-05-15 15:00:00,Coimbatore,Evidence Collected recorded during Vehicle Theft investigation.
EVT-0207,CASE-018,P-0131,Suspect Movement,2026-05-11 01:00:00,North Dumdum,Location Ping recorded during Kidnapping investigation.
EVT-0208,CASE-016,P-0578,Money Transfer,2025-05-21 11:00:00,Karnal,Evidence Collected recorded during Assault investigation.
EVT-0209,CASE-057,P-0416,Call Made,2026-02-28 15:00:00,Pimpri-Chinchwad,Vehicle Sighted recorded during Vehicle Theft investigation.
EVT-0210,CASE-006,P-0113,Witness Statement,2024-03-11 14:00:00,Alwar,Evidence Collected recorded during Cybercrime investigation.
EVT-0211,CASE-028,P-0012,Call Made,2026-04-09 03:00:00,Bathinda,Witness Statement recorded during Smuggling investigation.
