event_id,case_id,person_id,event_type,timestamp,location
EVT-00065,CASE-040,P-0029,Call Made,2025-05-22 13:11:49,"Nagpur, Maharashtra"
EVT-00066,CASE-059,P-0030,Location Ping,2024-03-06 21:49:39,"Jodhpur, Rajasthan"
EVT-00067,CASE-059,P-0030,SMS Sent,2025-10-06 23:58:38,"Surat, Gujarat"
EVT-00068,CASE-025,P-0031,Location Ping,2024-12-30 23:35:05,"Kolkata, West Bengal"
EVT-00069,CASE-025,P-0031,SMS Sent,2025-12-05 11:20:21,"Chandigarh, Punjab"
EVT-00070,CASE-008,P-0031,SMS Sent,2024-06-07 15:04:35,"Nagpur, Maharashtra"
EVT-00071,CASE-012,P-0032,Bank Login,2025-03-14 03:04:00,"Bhopal, Madhya Pradesh"
EVT-00072,CASE-012,P-0032,Location Ping,2025-09-04 07:20:41,"Warangal, Telangana"
EVT-00073,CASE-012,P-0032,Location Ping,2025-07-12 10:05:56,"Kolkata, West Bengal"
EVT-00074,CASE-012,P-0032,Location Ping,2024-05-18 13:43:22,"Hyderabad, Telangana"
EVT-00075,CASE-046,P-0033,Location Ping,2023-10-26 00:33:26,"Surat, Gujarat"
EVT-00076,CASE-046,P-0033,Location Ping,2024-02-14 23:17:00,"Bhopal, Madhya Pradesh"
EVT-00077,CASE-035,P-0034,Bank Login,2023-08-05 08:38:52,"Ahmedabad, Gujarat"
EVT-00078,CASE-035,P-0034,ATM Withdrawal,2025-12-01 15:10:31,"Jaipur, Rajasthan"
EVT-00079,CASE-035,P-0034,Call Received,2024-12-19 18:20:58,"Chandigarh, Punjab"
EVT-00080,CASE-035,P-0034,Call Made,2024-03-28 18:27:28,"Hyderabad, Telangana"
EVT-00081,CASE-049,P-0035,Call Received,2025-10-02 19:42:16,"Patna, Bihar"
EVT-00082,CASE-049,P-0035,Call Received,2024-08-31 09:02:00,"Patna, Bihar"
EVT-00083,CASE-048,P-0036,SMS Sent,2025-04-14 20:02:43,"Surat, Gujarat"
EVT-00084,CASE-014,P-0036,Location Ping,2025-07-30 08:42:43,"Nagpur, Maharashtra"
EVT-00085,CASE-049,P-0036,Call Made,2024-08-07 23:14:58,"New Delhi, Delhi"
EVT-00086,CASE-028,P-0037,Call Made,2023-10-21 11:44:58,"Warangal, Telangana"
EVT-00087,CASE-028,P-0037,SMS Sent,2025-05-05 09:30:11,"Chandigarh, Punjab"
EVT-00088,CASE-028,P-0037,Bank Login,2025-05-31 12:12:18,"Lucknow, Uttar Pradesh"
EVT-00089,CASE-028,P-0037,Location Ping,2023-03-21 05:09:29,"Lucknow, Uttar Pradesh"
EVT-00090,CASE-023,P-0038,SMS Sent,2024-11-10 02:57:43,"Jodhpur, Rajasthan"
EVT-00091,CASE-023,P-0038,Call Made,2023-08-06 01:24:49,"Chennai, Tamil Nadu"
EVT-00092,CASE-023,P-0038,Location Ping,2023-03-26 15:59:14,"Mumbai, Maharashtra"
EVT-00093,CASE-023,P-0038,Location Ping,2023-06-16 22:27:35,"New Delhi, Delhi"
EVT-00094,CASE-054,P-0039,Call Made,2025-12-02 18:56:11,"Lucknow, Uttar Pradesh"
EVT-00095,CASE-054,P-0039,Call Made,2025-10-22 17:39:16,"Chandigarh, Punjab"
EVT-00096,CASE-054,P-0039,Call Made,2023-06-23 02:29:15,"Surat, Gujarat"
EVT-00097,CASE-053,P-0040,SMS Sent,2024-01-09 21:12:39,"Hyderabad, Telangana"
EVT-00098,CASE-044,P-0040,Bank Login,2025-07-26 18:07:27,"Chandigarh, Punjab"
EVT-00099,CASE-053,P-0040,Bank Login,2024-07-03 05:21:10,"Hyderabad, Telangana"
EVT-00100,CASE-052,P-0041,Bank Login,2025-06-26 09:34:20,"Surat, Gujarat"
EVT-00101,CASE-052,P-0041,Call Received,2024-08-18 09:24:56,"Coimbatore, Tamil Nadu"
EVT-00102,CASE-057,P-0042,Call Made,2025-06-06 09:22:51,"Bhopal, Madhya Pradesh"
EVT-00103,CASE-006,P-0043,Call Made,2023-05-29 15:20:43,"Hyderabad, Telangana"
EVT-00104,CASE-006,P-0043,Call Received,2024-01-11 23:19:39,"Kanpur, Uttar Pradesh"
EVT-00105,CASE-030,P-0043,Call Received,2023-12-09 06:55:51,"Warangal, Telangana"
EVT-00106,CASE-005,P-0044,Call Received,2025-11-08 14:43:04,"Ahmedabad, Gujarat"
EVT-00107,CASE-045,P-0045,SMS Sent,2023-11-28 11:40:27,"Hyderabad, Telangana"
EVT-00108,CASE-045,P-0045,Call Made,2024-09-26 15:16:27,"Kanpur, Uttar Pradesh"
EVT-00109,CASE-045,P-0045,Call Received,2024-08-20 06:17:10,"Bhopal, Madhya Pradesh"
EVT-00110,CASE-045,P-0045,Call Made,2025-04-20 19:48:27,"Warangal, Telangana"
EVT-00111,CASE-014,P-0046,SMS Sent,2025-03-24 21:43:36,"Surat, Gujarat"
EVT-00112,CASE-014,P-0046,Call Made,2025-02-14 05:16:01,"Kolkata, West Bengal"
EVT-00113,CASE-019,P-0047,Bank Login,2023-11-16 04:27:40,"Jaipur, Rajasthan"
EVT-00114,CASE-019,P-0047,ATM Withdrawal,2023-05-01 04:04:34,"Bhopal, Madhya Pradesh"
EVT-00115,CASE-019,P-0047,Call Received,2024-09-19 14:26:49,"Coimbatore, Tamil Nadu"
EVT-00116,CASE-019,P-0047,Location Ping,2024-07-02 18:41:31,"Jodhpur, Rajasthan"
EVT-00117,CASE-060,P-0048,ATM Withdrawal,2024-03-27 13:17:29,"Hyderabad, Telangana"
EVT-00118,CASE-060,P-0048,Bank Login,2024-12-30 16:10:14,"Pune, Maharashtra"
EVT-00119,CASE-060,P-0048,ATM Withdrawal,2025-12-19 15:42:05,"Nagpur, Maharashtra"
EVT-00120,CASE-029,P-0049,SMS Sent,2025-06-07 00:53:58,"Jaipur, Rajasthan"
EVT-00121,CASE-029,P-0049,SMS Sent,2023-02-01 20:04:34,"Patna, Bihar"
EVT-00122,CASE-029,P-0049,ATM Withdrawal,2024-11-22 19:00:52,"Lucknow, Uttar Pradesh"
EVT-00123,CASE-029,P-0049,SMS Sent,2024-02-01 00:19:12,"Jaipur, Rajasthan"
EVT-00124,CASE-013,P-0050,Location Ping,2024-02-08 16:14:56,"Patna, Bihar"
EVT-00125,CASE-013,P-0050,Call Received,2023-12-07 10:00:39,"Chandigarh, Punjab"
EVT-00126,CASE-015,P-0051,SMS Sent,2024-07-20 08:13:24,"Mumbai, Maharashtra"
EVT-00127,CASE-015,P-0051,Call Made,2023-09-04 14:45:57,"Nagpur, Maharashtra"
EVT-00128,CASE-022,P-0052,Call Made,2025-03-26 22:53:00,"Warangal, Telangana"
EVT-00129,CASE-032,P-0053,Location Ping,2023-08-09 00:29:58,"Lucknow, Uttar Pradesh"
EVT-00130,CASE-038,P-0053,Call Received,2023-12-22 21:02:40,"Lucknow, Uttar Pradesh"
EVT-00131,CASE-038,P-0053,Call Received,2025-03-19 13:56:37,"Nagpur, Maharashtra"
EVT-00132,CASE-032,P-0053,Call Made,2025-08-22 14:29:40,"Mumbai, Maharashtra"
EVT-00133,CASE-030,P-0054,Bank Login,2024-12-31 12:07:46,"Lucknow, Uttar Pradesh"
EVT-00134,CASE-030,P-0054,Call Received,2023-01-27 16:35:03,"Coimbatore, Tamil Nadu"
EVT-00135,CASE-051,P-0055,Call Made,2024-02-22 22:41:31,"Chennai, Tamil Nadu"
EVT-00136,CASE-031,P-0056,Bank Login,2024-07-27 02:43:45,"Chennai, Tamil Nadu"
EVT-00137,CASE-010,P-0057,Call Received,2023-01-14 14:05:34,"Surat, Gujarat"
EVT-00138,CASE-010,P-0057,Location Ping,2025-03-08 07:11:39,"Pune, Maharashtra"
EVT-00139,CASE-011,P-0058,Call Received,2023-09-17 10:15:30,"Mumbai, Maharashtra"
EVT-00140,CASE-012,P-0059,Call Received,2024-01-11 19:38:19,"Bhopal, Madhya Pradesh"
EVT-00141,CASE-012,P-0059,Bank Login,2024-03-09 20:12:11,"Kanpur, Uttar Pradesh"
EVT-00142,CASE-012,P-0059,SMS Sent,2023-09-30 01:52:44,"Bengaluru Urban, Karnataka"
EVT-00143,CASE-012,P-0059,Call Received,2025-09-21 10:00:15,"Bhopal, Madhya Pradesh"
EVT-00144,CASE-043,P-0060,SMS Sent,2023-07-31 02:52:40,"Pune, Maharashtra"
EVT-00145,CASE-008,P-0061,Bank Login,2025-01-31 02:54:10,"Jodhpur, Rajasthan"
EVT-00146,CASE-008,P-0061,Bank Login,2024-12-25 20:51:44,"Kolkata, West Bengal"
EVT-00147,CASE-008,P-0061,Bank Login,2025-06-16 01:42:43,"Jodhpur, Rajasthan"
EVT-00148,CASE-009,P-0062,Call Received,2025-02-20 14:53:11,"Patna, Bihar"
EVT-00149,CASE-009,P-0062,Call Made,2023-11-18 09:31:50,"Nagpur, Maharashtra"
EVT-00150,CASE-009,P-0062,Location Ping,2023-06-29 11:30:05,"Bhopal, Madhya Pradesh"
EVT-00151,CASE-014,P-0063,SMS Sent,2024-04-10 06:50:20,"Jaipur, Rajasthan"
EVT-00152,CASE-014,P-0063,Location Ping,2025-01-26 20:56:15,"Coimbatore, Tamil Nadu"
EVT-00153,CASE-014,P-0063,Call Received,2024-11-07 14:00:58,"Mysuru, Karnataka"
EVT-00154,CASE-014,P-0063,Bank Login,2023-08-06 05:48:13,"Ahmedabad, Gujarat"
EVT-00155,CASE-021,P-0064,Call Received,2023-01-26 10:37:03,"Hyderabad, Telangana"
EVT-00156,CASE-021,P-0064,Location Ping,2025-01-26 04:19:06,"Jodhpur, Rajasthan"
EVT-00157,CASE-021,P-0064,ATM Withdrawal,2024-12-23 16:05:18,"Jaipur, Rajasthan"
EVT-00158,CASE-021,P-0064,SMS Sent,2023-07-22 14:11:25,"Lucknow, Uttar Pradesh"
EVT-00159,CASE-029,P-0065,Call Received,2025-09-21 05:46:55,"Bengaluru Urban, Karnataka"
EVT-00160,CASE-020,P-0066,Call Made,2024-06-28 13:38:30,"Kanpur, Uttar Pradesh"
EVT-00161,CASE-020,P-0066,ATM Withdrawal,2024-11-04 05:39:52,"Nagpur, Maharashtra"
EVT-00162,CASE-020,P-0066,Location Ping,2025-03-07 05:40:40,"New Delhi, Delhi"
EVT-00163,CASE-060,P-0067,SMS Sent,2023-04-16 06:06:50,"Jaipur, Rajasthan"
EVT-00164,CASE-060,P-0067,Call Received,2024-04-27 02:22:47,"Kolkata, West Bengal"
EVT-00165,CASE-060,P-0067,Call Made,2023-06-07 08:50:22,"Mysuru, Karnataka"
EVT-00166,CASE-060,P-0067,Call Made,2023-02-08 08:16:04,"Kolkata, West Bengal"
EVT-00167,CASE-030,P-0068,Call Made,2024-11-27 12:01:20,"Jodhpur, Rajasthan"
EVT-00168,CASE-030,P-0068,Bank Login,2024-12-16 00:53:28,"Jaipur, Rajasthan"
EVT-00169,CASE-048,P-0069,Location Ping,2023-03-21 02:17:56,"Kolkata, West Bengal"
EVT-00170,CASE-048,P-0069,SMS Sent,2025-01-27 07:56:40,"Lucknow, Uttar Pradesh"
EVT-00171,CASE-048,P-0069,ATM Withdrawal,2025-05-01 06:32:18,"Chandigarh, Punjab"
EVT-00172,CASE-042,P-0070,SMS Sent,2024-05-27 20:57:39,"Kanpur, Uttar Pradesh"
EVT-00173,CASE-019,P-0071,Call Received,2023-11-01 23:52:16,"Nagpur, Maharashtra"
EVT-00174,CASE-019,P-0071,Location Ping,2024-09-04 16:16:32,"Hyderabad, Telangana"
EVT-00175,CASE-019,P-0071,Call Made,2024-04-15 13:18:51,"Pune, Maharashtra"
EVT-00176,CASE-037,P-0072,SMS Sent,2025-06-03 08:51:05,"Coimbatore, Tamil Nadu"
EVT-00177,CASE-043,P-0072,Call Received,2024-10-25 04:24:50,"New Delhi, Delhi"
EVT-00178,CASE-029,P-0073,Call Made,2023-04-13 21:10:07,"Chennai, Tamil Nadu"
EVT-00179,CASE-029,P-0073,Location Ping,2025-01-19 19:02:22,"Nagpur, Maharashtra"
EVT-00180,CASE-029,P-0073,SMS Sent,2023-09-15 06:09:43,"Patna, Bihar"
EVT-00181,CASE-009,P-0074,ATM Withdrawal,2024-12-14 23:21:50,"Surat, Gujarat"
EVT-00182,CASE-054,P-0075,Location Ping,2025-06-15 09:44:21,"New Delhi, Delhi"
EVT-00183,CASE-054,P-0075,ATM Withdrawal,2025-10-29 22:48:57,"Surat, Gujarat"
EVT-00184,CASE-054,P-0075,ATM Withdrawal,2025-11-25 09:12:37,"Chandigarh, Punjab"
EVT-00185,CASE-021,P-0076,Call Received,2023-02-04 12:36:55,"Lucknow, Uttar Pradesh"
EVT-00186,CASE-021,P-0076,Location Ping,2024-05-24 18:27:13,"Kolkata, West Bengal"
EVT-00187,CASE-021,P-0076,SMS Sent,2024-09-20 16:38:54,"Mumbai, Maharashtra"
EVT-00188,CASE-038,P-0077,Call Made,2023-08-18 20:47:41,"New Delhi, Delhi"
EVT-00189,CASE-038,P-0077,Call Received,2024-01-22 09:37:31,"Kanpur, Uttar Pradesh"
EVT-00190,CASE-038,P-0077,Call Made,2025-12-19 08:16:30,"New Delhi, Delhi"
EVT-00191,CASE-018,P-0078,ATM Withdrawal,2024-09-13 03:30:53,"Lucknow, Uttar Pradesh"
EVT-00192,CASE-018,P-0078,Location Ping,2023-05-07 00:42:57,"Hyderabad, Telangana"
EVT-00193,CASE-050,P-0078,Bank Login,2025-01-17 11:27:16,"Nagpur, Maharashtra"
EVT-00194,CASE-044,P-0079,SMS Sent,2024-09-22 13:58:11,"Lucknow, Uttar Pradesh"
EVT-00195,CASE-044,P-0079,SMS Sent,2025-01-05 01:12:37,"Pune, Maharashtra"
EVT-00196,CASE-043,P-0079,Location Ping,2023-07-03 15:47:59,"Ahmedabad, Gujarat"
EVT-00197,CASE-032,P-0080,SMS Sent,2024-09-07 16:48:01,"Chandigarh, Punjab"
EVT-00198,CASE-032,P-0080,SMS Sent,2024-10-30 03:30:00,"Hyderabad, Telangana"
EVT-00199,CASE-004,P-0081,Bank Login,2023-09-14 03:42:35,"Surat, Gujarat"
EVT-00200,CASE-004,P-0081,Bank Login,2024-05-23 04:46:16,"Chandigarh, Punjab"
EVT-00201,CASE-004,P-0081,Call Made,2023-06-06 08:52:14,"Nagpur, Maharashtra"
EVT-00202,CASE-010,P-0082,Call Received,2025-04-19 10:28:14,"Lucknow, Uttar Pradesh"
EVT-00203,CASE-025,P-0083,ATM Withdrawal,2025-10-03 14:03:49,"Mysuru, Karnataka"
EVT-00204,CASE-025,P-0083,Call Made,2025-01-01 23:54:46,"Chennai, Tamil Nadu"
EVT-00205,CASE-025,P-0083,Call Received,2024-03-28 17:02:16,"Jaipur, Rajasthan"
EVT-00206,CASE-025,P-0083,ATM Withdrawal,2025-06-07 13:36:12,"Nagpur, Maharashtra"
EVT-00207,CASE-023,P-0084,Location Ping,2024-05-27 20:34:34,"Bengaluru Urban, Karnataka"
EVT-00208,CASE-036,P-0085,Call Made,2025-08-12 09:07:32,"Pune, Maharashtra"
EVT-00209,CASE-029,P-0086,SMS Sent,2025-01-31 17:56:57,"Bengaluru Urban, Karnataka"
EVT-00210,CASE-048,P-0086,Bank Login,2024-03-28 17:14:22,"Bhopal, Madhya Pradesh"
EVT-00211,CASE-052,P-0087,Call Received,2023-04-11 21:13:57,"Kanpur, Uttar Pradesh"
EVT-00212,CASE-047,P-0088,ATM Withdrawal,2025-12-23 07:45:22,"Kolkata, West Bengal"
EVT-00213,CASE-047,P-0088,SMS Sent,2025-07-31 03:20:49,"Hyderabad, Telangana"
EVT-00214,CASE-058,P-0088,Call Made,2024-09-03 02:46:18,"Surat, Gujarat"
EVT-00215,CASE-010,P-0089,SMS Sent,2024-07-11 07:14:27,"Kolkata, West Bengal"
EVT-00216,CASE-010,P-0089,Location Ping,2025-10-12 03:51:04,"Jodhpur, Rajasthan"
EVT-00217,CASE-056,P-0090,Location Ping,2025-10-31 23:48:01,"Surat, Gujarat"
EVT-00218,CASE-056,P-0090,Call Received,2024-12-17 14:01:01,"Mysuru, Karnataka"
EVT-00219,CASE-056,P-0090,Call Made,2023-05-04 10:13:38,"Mumbai, Maharashtra"
EVT-00220,CASE-056,P-0090,Call Received,2023-06-17 06:23:45,"Kanpur, Uttar Pradesh"
EVT-00221,CASE-060,P-0091,ATM Withdrawal,2023-04-25 02:07:19,"Ahmedabad, Gujarat"
EVT-00222,CASE-060,P-0091,ATM Withdrawal,2024-05-12 00:36:54,"Chandigarh, Punjab"
EVT-00223,CASE-001,P-0092,SMS Sent,2024-09-28 17:27:18,"Bengaluru Urban, Karnataka"
EVT-00224,CASE-001,P-0092,ATM Withdrawal,2023-11-22 20:51:44,"Patna, Bihar"
EVT-00225,CASE-036,P-0093,Call Received,2024-08-30 01:52:00,"Coimbatore, Tamil Nadu"
EVT-00226,CASE-059,P-0094,Call Made,2023-02-18 17:54:46,"Warangal, Telangana"
EVT-00227,CASE-059,P-0094,Call Received,2025-02-12 00:30:13,"Kanpur, Uttar Pradesh"
EVT-00228,CASE-059,P-0094,ATM Withdrawal,2024-05-17 15:55:16,"Kanpur, Uttar Pradesh"
EVT-00229,CASE-025,P-0095,ATM Withdrawal,2024-10-18 02:17:22,"Surat, Gujarat"
EVT-00230,CASE-025,P-0095,Call Made,2023-09-13 01:02:28,"Warangal, Telangana"
EVT-00231,CASE-053,P-0096,SMS Sent,2024-06-03 17:09:42,"Mysuru, Karnataka"
EVT-00232,CASE-053,P-0096,Call Received,2024-01-08 20:43:12,"Kolkata, West Bengal"
EVT-00233,CASE-053,P-0096,Location Ping,2023-11-11 04:37:38,"Chennai, Tamil Nadu"
EVT-00234,CASE-053,P-0096,Call Made,2023-01-15 07:56:17,"Jaipur, Rajasthan"
EVT-00235,CASE-032,P-0097,Location Ping,2023-01-05 06:03:15,"Bengaluru Urban, Karnataka"
EVT-00236,CASE-032,P-0097,Bank Login,2023-11-10 08:24:51,"Coimbatore, Tamil Nadu"
EVT-00237,CASE-020,P-0097,Location Ping,2025-11-22 21:29:57,"Kolkata, West Bengal"
EVT-00238,CASE-001,P-0098,Bank Login,2025-07-06 06:58:50,"Bhopal, Madhya Pradesh"
EVT-00239,CASE-001,P-0098,SMS Sent,2023-03-03 05:52:45,"Kanpur, Uttar Pradesh"
EVT-00240,CASE-001,P-0098,Bank Login,2024-12-10 01:10:52,"Mumbai, Maharashtra"
EVT-00241,CASE-041,P-0099,Call Made,2024-09-24 18:35:52,"Chandigarh, Punjab"
EVT-00242,CASE-041,P-0099,SMS Sent,2024-10-10 04:01:31,"Kanpur, Uttar Pradesh"
EVT-00243,CASE-041,P-0099,Location Ping,2025-07-06 22:06:45,"Hyderabad, Telangana"
EVT-00244,CASE-042,P-0100,Location Ping,2025-10-09 22:21:39,"Mumbai, Maharashtra"
EVT-00245,CASE-042,P-0100,ATM Withdrawal,2025-06-19 07:42:06,"Warangal, Telangana"
EVT-00246,CASE-042,P-0100,Location Ping,2023-01-07 15:45:25,"Kolkata, West Bengal"
EVT-00247,CASE-042,P-0100,Call Made,2023-12-11 13:20:17,"Kanpur, Uttar Pradesh"
EVT-00248,CASE-012,P-0101,Call Made,2024-10-29 23:57:47,"Mumbai, Maharashtra"
EVT-00249,CASE-012,P-0101,Location Ping,2025-04-11 11:51:03,"New Delhi, Delhi"
EVT-00250,CASE-016,P-0102,Bank Login,2025-09-21 05:39:43,"Ahmedabad, Gujarat"
EVT-00251,CASE-016,P-0102,SMS Sent,2025-06-20 06:32:17,"Coimbatore, Tamil Nadu"
EVT-00252,CASE-016,P-0102,Call Made,2023-12-31 19:13:26,"Jodhpur, Rajasthan"
EVT-00253,CASE-016,P-0102,Call Received,2025-04-26 17:25:51,"Coimbatore, Tamil Nadu"
EVT-00254,CASE-005,P-0103,Call Made,2024-05-25 17:36:50,"Hyderabad, Telangana"
EVT-00255,CASE-028,P-0104,Call Made,2023-07-21 18:10:59,"Warangal, Telangana"
EVT-00256,CASE-028,P-0104,ATM Withdrawal,2024-03-30 02:21:13,"Warangal, Telangana"
EVT-00257,CASE-028,P-0104,Call Received,2024-10-24 11:11:08,"Coimbatore, Tamil Nadu"
EVT-00258,CASE-028,P-0104,Location Ping,2023-06-01 14:57:08,"Ahmedabad, Gujarat"
EVT-00259,CASE-031,P-0105,Call Made,2023-08-30 16:01:06,"Bengaluru Urban, Karnataka"
EVT-00260,CASE-031,P-0105,Call Received,2023-04-13 11:59:50,"Warangal, Telangana"
EVT-00261,CASE-031,P-0105,Call Made,2024-12-02 01:22:12,"Surat, Gujarat"
EVT-00262,CASE-033,P-0106,Bank Login,2023-07-09 16:07:30,"Patna, Bihar"
EVT-00263,CASE-038,P-0107,Location Ping,2023-05-23 23:07:51,"Jaipur, Rajasthan"
EVT-00264,CASE-038,P-0107,SMS Sent,2023-10-22 01:37:17,"New Delhi, Delhi"
EVT-00265,CASE-038,P-0107,ATM Withdrawal,2023-01-29 07:34:19,"Bhopal, Madhya Pradesh"
EVT-00266,CASE-057,P-0108,Call Received,2023-08-15 12:18:01,"Surat, Gujarat"
