pattern_type,entity_1,entity_2,relation,detail,split
cross_case_link,P-0219,P-0115,money_mule_link,CHAIN-0116:A-0273>A-0094>A-0164>A-0139,train
cross_case_link,P-0343,P-0072,money_mule_link,CHAIN-0023:A-0424>A-0059>A-0128>A-0022>A-0086,train
cross_case_link,CASE-027,CASE-003,money_mule_link,CHAIN-0046:A-0340>A-0121>A-0005>A-0311>A-0018,train
cross_case_link,P-0216,P-0211,money_mule_link,A-0269>A-0263,test
cross_case_link,P-0073,P-0378,money_mule_link,A-0087>A-0465,train
identity_resolution,P-0262,P-0334,same_individual_alias,PH-0262,train
cross_case_link,P-0225,P-0153,money_mule_link,A-0280>A-0191,train
cross_case_link,P-0100,P-0172,money_mule_link,A-0121>A-0213,test
cross_case_link,P-0275,P-0298,shared_burner_phone,PH-0275,test
cross_case_link,P-0373,P-0137,money_mule_link,A-0460>A-0170,train
cross_case_link,P-0311,P-0222,money_mule_link,CHAIN-0179:A-0383>A-0458>A-0319>A-0277,train
cross_case_link,P-0323,P-0043,money_mule_link,A-0396>A-0050,test
cross_case_link,P-0349,P-0358,money_mule_link,A-0430>A-0441,train
cross_case_link,P-0282,P-0352,money_mule_link,A-0347>A-0433,train
cross_case_link,P-0120,P-0391,money_mule_link,A-0146>A-0480,train
cross_case_link,P-0352,P-0376,money_mule_link,A-0433>A-0463,train
cross_case_link,P-0218,P-0060,money_mule_link,A-0272>A-0072,train
cross_case_link,P-0280,P-0132,money_mule_link,A-0345>A-0163,train
cross_case_link,P-0236,P-0001,money_mule_link,A-0293>A-0001,train
identity_resolution,P-0235,P-0313,same_individual_alias,PH-0235,train
cross_case_link,P-0019,P-0241,money_mule_link,A-0023>A-0299,train
cross_case_link,P-0333,P-0393,money_mule_link,CHAIN-0115:A-0409>A-0118>A-0473>A-0045>A-0482,train
identity_resolution,P-0328,P-0329,same_individual_alias,PH-0060,test
cross_case_link,P-0175,P-0239,money_mule_link,A-0217>A-0297,train
cross_case_link,P-0157,P-0321,money_mule_link,CHAIN-0122:A-0195>A-0258>A-0394,train
cross_case_link,P-0187,P-0099,money_mule_link,CHAIN-0169:A-0232>A-0159>A-0120,train
cross_case_link,CASE-029,CASE-034,money_mule_link,CHAIN-0178:A-0057>A-0010>A-0251,train
cross_case_link,P-0153,P-0322,money_mule_link,CHAIN-0012:A-0191>A-0357>A-0395,train
cross_case_link,P-0218,P-0012,money_mule_link,CHAIN-0056:A-0272>A-0326>A-0468>A-0014,test
cross_case_link,P-0219,P-0078,money_mule_link,A-0273>A-0094,test
cross_case_link,P-0103,P-0382,money_mule_link,A-0124>A-0469,train
cross_case_link,P-0048,P-0174,money_mule_link,A-0056>A-0216,train
cross_case_link,CASE-054,CASE-010,money_mule_link,CHAIN-0180:A-0196>A-0397>A-0098,train
cross_case_link,P-0168,P-0314,money_mule_link,A-0208>A-0386,train
cross_case_link,CASE-026,CASE-021,money_mule_link,CHAIN-0036:A-0396>A-0109>A-0091,test
cross_case_link,CASE-050,CASE-015,money_mule_link,CHAIN-0166:A-0216>A-0446>A-0109>A-0186,train
cross_case_link,P-0180,P-0061,money_mule_link,A-0223>A-0073,train
cross_case_link,P-0184,P-0169,shared_burner_phone,PH-0184,train
cross_case_link,P-0015,P-0130,money_mule_link,CHAIN-0136:A-0019>A-0461>A-0291>A-0159,train
cross_case_link,P-0034,P-0086,shared_burner_phone,PH-0034,test
cross_case_link,P-0337,P-0318,money_mule_link,A-0414>A-0391,train
cross_case_link,P-0168,P-0162,money_mule_link,A-0208>A-0201,train
cross_case_link,P-0259,P-0040,money_mule_link,A-0322>A-0047,train
cross_case_link,P-0026,P-0207,shared_burner_phone,PH-0026,train
cross_case_link,CASE-020,CASE-027,money_mule_link,CHAIN-0070:A-0413>A-0387>A-0465,test
cross_case_link,CASE-060,CASE-010,money_mule_link,CHAIN-0081:A-0056>A-0216>A-0245>A-0412,train
cross_case_link,P-0151,P-0312,money_mule_link,CHAIN-0043:A-0189>A-0073>A-0214>A-0373>A-0384,train
cross_case_link,P-0047,P-0400,money_mule_link,A-0055>A-0491,train
cross_case_link,CASE-030,CASE-036,money_mule_link,CHAIN-0134:A-0051>A-0008>A-0061>A-0453,train
cross_case_link,P-0334,P-0368,money_mule_link,CHAIN-0103:A-0411>A-0154>A-0141>A-0436>A-0455,train
cross_case_link,P-0190,P-0015,money_mule_link,A-0235>A-0019,train
cross_case_link,CASE-048,CASE-029,money_mule_link,CHAIN-0049:A-0167>A-0387>A-0243>A-0397>A-0368,train
cross_case_link,CASE-055,CASE-048,money_mule_link,CHAIN-0094:A-0366>A-0412>A-0268>A-0262,test
identity_resolution,P-0089,P-0315,same_individual_alias,PH-0089,train
cross_case_link,P-0324,P-0352,money_mule_link,A-0397>A-0433,train
cross_case_link,P-0174,P-0361,money_mule_link,A-0216>A-0446,test
cross_case_link,CASE-054,CASE-037,money_mule_link,CHAIN-0044:A-0280>A-0110>A-0324>A-0457,train
cross_case_link,P-0192,P-0194,money_mule_link,A-0240>A-0242,train
cross_case_link,P-0350,P-0083,money_mule_link,CHAIN-0175:A-0431>A-0158>A-0181>A-0476>A-0099,train
identity_resolution,P-0017,P-0398,same_individual_alias,PH-0017,train
cross_case_link,P-0225,P-0381,money_mule_link,CHAIN-0132:A-0280>A-0191>A-0077>A-0343>A-0468,train
cross_case_link,P-0188,P-0026,money_mule_link,A-0233>A-0031,train
cross_case_link,P-0052,P-0349,money_mule_link,A-0061>A-0430,train
cross_case_link,P-0295,P-0125,money_mule_link,CHAIN-0040:A-0363>A-0189>A-0153,test
cross_case_link,P-0021,P-0120,money_mule_link,A-0026>A-0146,train
cross_case_link,P-0119,P-0110,money_mule_link,A-0144>A-0134,train
cross_case_link,P-0061,P-0175,money_mule_link,A-0073>A-0217,train
cross_case_link,P-0143,P-0295,money_mule_link,A-0179>A-0363,train
identity_resolution,P-0213,P-0387,same_individual_alias,PH-0213,train
cross_case_link,P-0275,P-0185,money_mule_link,A-0339>A-0229,train
identity_resolution,P-0161,P-0301,same_individual_alias,PH-0161,train
cross_case_link,P-0356,P-0080,money_mule_link,A-0439>A-0096,train
cross_case_link,P-0266,P-0274,money_mule_link,A-0329>A-0338,train
cross_case_link,P-0278,P-0391,money_mule_link,A-0343>A-0480,train
cross_case_link,P-0026,P-0307,money_mule_link,A-0031>A-0378,train
cross_case_link,P-0190,P-0349,money_mule_link,A-0235>A-0430,train
cross_case_link,P-0375,P-0379,money_mule_link,CHAIN-0085:A-0462>A-0023>A-0336>A-0466,train
cross_case_link,P-0078,P-0053,money_mule_link,A-0093>A-0062,train
identity_resolution,P-0276,P-0350,same_individual_alias,PH-0276,train
identity_resolution,P-0228,P-0389,same_individual_alias,PH-0228,train
cross_case_link,P-0074,P-0013,money_mule_link,A-0089>A-0016,test
cross_case_link,CASE-050,CASE-047,money_mule_link,CHAIN-0144:A-0019>A-0453>A-0377>A-0313>A-0276,train
identity_resolution,P-0060,P-0328,same_individual_alias,PH-0060,train
cross_case_link,CASE-021,CASE-038,money_mule_link,CHAIN-0064:A-0393>A-0482>A-0258>A-0161,train
cross_case_link,P-0386,P-0275,money_mule_link,A-0474>A-0339,train
cross_case_link,P-0240,P-0096,money_mule_link,CHAIN-0076:A-0298>A-0345>A-0115,train
cross_case_link,P-0174,P-0197,money_mule_link,A-0216>A-0245,train
cross_case_link,P-0389,P-0337,money_mule_link,A-0478>A-0414,train
cross_case_link,P-0338,P-0042,money_mule_link,A-0415>A-0049,train
cross_case_link,CASE-012,CASE-011,money_mule_link,CHAIN-0194:A-0176>A-0001>A-0194,train
cross_case_link,CASE-032,CASE-041,money_mule_link,CHAIN-0171:A-0456>A-0166>A-0348>A-0119,train
cross_case_link,P-0140,P-0107,money_mule_link,CHAIN-0088:A-0174>A-0004>A-0260>A-0130,test
cross_case_link,CASE-031,CASE-044,money_mule_link,CHAIN-0121:A-0466>A-0418>A-0189,train
cross_case_link,P-0173,P-0167,money_mule_link,A-0214>A-0206,train
cross_case_link,P-0351,P-0062,money_mule_link,A-0432>A-0074,train
cross_case_link,P-0004,P-0384,money_mule_link,A-0005>A-0472,train
cross_case_link,P-0222,P-0096,shared_burner_phone,PH-0222,train
identity_resolution,P-0162,P-0364,same_individual_alias,PH-0162,train
cross_case_link,P-0290,P-0017,money_mule_link,CHAIN-0114:A-0356>A-0279>A-0021,train
identity_resolution,P-0043,P-0391,same_individual_alias,PH-0043,test
cross_case_link,P-0191,P-0206,money_mule_link,A-0237>A-0257,train
identity_resolution,P-0314,P-0315,same_individual_alias,PH-0089,train
cross_case_link,P-0034,P-0151,money_mule_link,A-0041>A-0189,train
cross_case_link,P-0156,P-0202,money_mule_link,A-0194>A-0253,train
cross_case_link,P-0324,P-0082,money_mule_link,A-0397>A-0098,test
cross_case_link,P-0164,P-0141,shared_burner_phone,PH-0164,test
cross_case_link,P-0002,P-0049,money_mule_link,A-0002>A-0057,train
cross_case_link,P-0137,P-0035,money_mule_link,A-0170>A-0042,train
cross_case_link,P-0187,P-0205,money_mule_link,A-0231>A-0256,train
cross_case_link,P-0041,P-0066,money_mule_link,A-0048>A-0080,train
cross_case_link,CASE-034,CASE-009,money_mule_link,CHAIN-0160:A-0409>A-0303>A-0360,train
cross_case_link,P-0256,P-0222,money_mule_link,A-0319>A-0277,test
cross_case_link,P-0218,P-0263,money_mule_link,A-0272>A-0326,test
cross_case_link,P-0234,P-0362,money_mule_link,CHAIN-0186:A-0291>A-0178>A-0123>A-0447,train
identity_resolution,P-0316,P-0318,same_individual_alias,PH-0153,train
cross_case_link,P-0179,P-0170,money_mule_link,A-0222>A-0210,train
cross_case_link,P-0060,P-0343,money_mule_link,A-0072>A-0424,train
cross_case_link,P-0212,P-0100,money_mule_link,CHAIN-0145:A-0264>A-0461>A-0099>A-0463>A-0121,test
cross_case_link,P-0338,P-0200,money_mule_link,A-0416>A-0249,test
cross_case_link,CASE-048,CASE-003,money_mule_link,CHAIN-0059:A-0262>A-0199>A-0467>A-0214,test
cross_case_link,P-0401,P-0265,money_mule_link,A-0493>A-0328,train
cross_case_link,CASE-056,CASE-057,money_mule_link,CHAIN-0170:A-0478>A-0414>A-0292>A-0415>A-0049,train
cross_case_link,CASE-026,CASE-029,money_mule_link,CHAIN-0058:A-0396>A-0050>A-0057,test
cross_case_link,CASE-018,CASE-058,money_mule_link,CHAIN-0084:A-0293>A-0233>A-0031>A-0378,train
cross_case_link,P-0195,P-0031,shared_burner_phone,PH-0195,train
cross_case_link,P-0207,P-0388,money_mule_link,CHAIN-0093:A-0258>A-0317>A-0477,train
cross_case_link,P-0168,P-0118,money_mule_link,CHAIN-0117:A-0208>A-0201>A-0143,train
cross_case_link,P-0366,P-0307,money_mule_link,A-0453>A-0377,train
cross_case_link,CASE-049,CASE-044,money_mule_link,CHAIN-0016:A-0042>A-0001>A-0095,train
cross_case_link,P-0230,P-0391,money_mule_link,A-0287>A-0480,train
cross_case_link,P-0002,P-0032,shared_burner_phone,PH-0002,test
cross_case_link,P-0036,P-0004,money_mule_link,A-0043>A-0005,train
identity_resolution,P-0161,P-0302,same_individual_alias,PH-0161,test
cross_case_link,P-0249,P-0161,money_mule_link,A-0308>A-0200,train
cross_case_link,P-0010,P-0283,money_mule_link,A-0012>A-0348,train
cross_case_link,CASE-051,CASE-007,money_mule_link,CHAIN-0111:A-0029>A-0491>A-0416>A-0249,train
cross_case_link,P-0240,P-0301,money_mule_link,A-0298>A-0370,train
cross_case_link,P-0365,P-0340,money_mule_link,CHAIN-0139:A-0452>A-0378>A-0419,test
cross_case_link,CASE-049,CASE-054,money_mule_link,CHAIN-0045:A-0179>A-0363>A-0388>A-0200>A-0060,train
identity_resolution,P-0388,P-0390,same_individual_alias,PH-0228,train
identity_resolution,P-0324,P-0326,same_individual_alias,PH-0123,train
identity_resolution,P-0070,P-0373,same_individual_alias,PH-0070,train
cross_case_link,P-0022,P-0199,money_mule_link,A-0027>A-0247,test
cross_case_link,P-0100,P-0302,money_mule_link,A-0121>A-0371,test
cross_case_link,P-0132,P-0349,money_mule_link,A-0163>A-0430,test
cross_case_link,P-0358,P-0057,money_mule_link,A-0441>A-0068,train
identity_resolution,P-0360,P-0361,same_individual_alias,PH-0072,train
identity_resolution,P-0096,P-0346,same_individual_alias,PH-0096,train
cross_case_link,CASE-022,CASE-036,money_mule_link,CHAIN-0129:A-0061>A-0430>A-0102,train
cross_case_link,CASE-013,CASE-007,money_mule_link,CHAIN-0116:A-0273>A-0094>A-0164>A-0139,train
cross_case_link,P-0072,P-0096,money_mule_link,CHAIN-0173:A-0086>A-0124>A-0469>A-0049>A-0115,train
cross_case_link,P-0235,P-0338,money_mule_link,A-0292>A-0415,test
cross_case_link,CASE-041,CASE-034,money_mule_link,CHAIN-0071:A-0119>A-0479>A-0320,train
cross_case_link,CASE-019,CASE-029,money_mule_link,CHAIN-0187:A-0208>A-0386>A-0479,train
cross_case_link,P-0066,P-0401,money_mule_link,A-0080>A-0493,test
cross_case_link,P-0393,P-0377,money_mule_link,CHAIN-0092:A-0482>A-0490>A-0464,train
cross_case_link,CASE-055,CASE-022,money_mule_link,CHAIN-0197:A-0147>A-0435>A-0287,train
cross_case_link,CASE-016,CASE-041,money_mule_link,CHAIN-0169:A-0232>A-0159>A-0120,train
cross_case_link,P-0323,P-0049,money_mule_link,CHAIN-0058:A-0396>A-0050>A-0057,train
cross_case_link,P-0049,P-0061,money_mule_link,A-0057>A-0073,train
cross_case_link,P-0306,P-0049,money_mule_link,CHAIN-0004:A-0376>A-0185>A-0463>A-0002>A-0057,train
identity_resolution,P-0251,P-0356,same_individual_alias,PH-0251,test
cross_case_link,P-0145,P-0387,money_mule_link,A-0181>A-0476,train
cross_case_link,P-0285,P-0220,shared_burner_phone,PH-0285,train
cross_case_link,P-0201,P-0302,money_mule_link,A-0250>A-0371,train
cross_case_link,P-0211,P-0160,money_mule_link,A-0262>A-0199,test
cross_case_link,P-0275,P-0074,money_mule_link,CHAIN-0161:A-0339>A-0229>A-0139>A-0089,train
identity_resolution,P-0073,P-0333,same_individual_alias,PH-0073,train
cross_case_link,P-0250,P-0164,money_mule_link,CHAIN-0106:A-0310>A-0005>A-0203,train
cross_case_link,CASE-036,CASE-053,money_mule_link,CHAIN-0076:A-0298>A-0345>A-0115,train
cross_case_link,P-0126,P-0117,money_mule_link,A-0154>A-0141,train
cross_case_link,P-0030,P-0280,money_mule_link,A-0036>A-0345,train
identity_resolution,P-0335,P-0336,same_individual_alias,PH-0215,train
cross_case_link,P-0080,P-0381,money_mule_link,A-0096>A-0468,test
cross_case_link,P-0061,P-0223,money_mule_link,A-0073>A-0278,train
cross_case_link,P-0380,P-0357,money_mule_link,A-0467>A-0440,train
cross_case_link,CASE-019,CASE-042,money_mule_link,CHAIN-0086:A-0208>A-0237>A-0025,train
cross_case_link,P-0255,P-0373,money_mule_link,A-0318>A-0460,train
cross_case_link,CASE-038,CASE-056,money_mule_link,CHAIN-0090:A-0130>A-0471>A-0335,train
cross_case_link,P-0168,P-0191,money_mule_link,A-0208>A-0237,train
cross_case_link,CASE-030,CASE-045,money_mule_link,CHAIN-0156:A-0329>A-0023>A-0299,train
cross_case_link,P-0270,P-0100,money_mule_link,A-0333>A-0121,train
identity_resolution,P-0179,P-0310,same_individual_alias,PH-0179,train
cross_case_link,P-0246,P-0033,money_mule_link,A-0305>A-0039,test
cross_case_link,CASE-031,CASE-020,money_mule_link,CHAIN-0060:A-0443>A-0047>A-0241>A-0080,train
cross_case_link,P-0293,P-0122,money_mule_link,A-0360>A-0148,train
cross_case_link,P-0175,P-0282,money_mule_link,CHAIN-0127:A-0217>A-0309>A-0486>A-0347,test
cross_case_link,P-0374,P-0083,money_mule_link,A-0461>A-0099,train
cross_case_link,P-0148,P-0034,money_mule_link,A-0185>A-0041,train
identity_resolution,P-0072,P-0360,same_individual_alias,PH-0072,test
identity_resolution,P-0384,P-0385,same_individual_alias,PH-0252,train
cross_case_link,P-0158,P-0324,money_mule_link,A-0196>A-0397,train
cross_case_link,P-0226,P-0345,money_mule_link,A-0281>A-0426,test
cross_case_link,P-0134,P-0306,money_mule_link,CHAIN-0011:A-0166>A-0193>A-0376,train
cross_case_link,P-0359,P-0040,money_mule_link,A-0443>A-0047,train
cross_case_link,P-0151,P-0061,money_mule_link,A-0189>A-0073,test
cross_case_link,P-0293,P-0248,money_mule_link,CHAIN-0126:A-0360>A-0306>A-0307,train
cross_case_link,CASE-026,CASE-028,money_mule_link,CHAIN-0096:A-0020>A-0129>A-0364,train
cross_case_link,P-0039,P-0172,money_mule_link,CHAIN-0047:A-0046>A-0208>A-0097>A-0323>A-0213,train
cross_case_link,P-0078,P-0302,money_mule_link,A-0093>A-0371,train
cross_case_link,P-0291,P-0322,money_mule_link,A-0357>A-0395,train
identity_resolution,P-0215,P-0336,same_individual_alias,PH-0215,train
cross_case_link,P-0008,P-0086,money_mule_link,A-0009>A-0104,test
cross_case_link,CASE-028,CASE-042,money_mule_link,CHAIN-0007:A-0364>A-0467>A-0440,test
identity_resolution,P-0181,P-0311,same_individual_alias,PH-0181,train
cross_case_link,P-0335,P-0215,money_mule_link,A-0412>A-0268,train
cross_case_link,P-0219,P-0196,money_mule_link,A-0273>A-0244,train
cross_case_link,P-0271,P-0211,shared_burner_phone,PH-0271,train
cross_case_link,P-0337,P-0235,money_mule_link,A-0414>A-0292,test
identity_resolution,P-0071,P-0338,same_individual_alias,PH-0071,train
cross_case_link,P-0303,P-0267,money_mule_link,A-0373>A-0330,train
cross_case_link,P-0168,P-0197,money_mule_link,A-0208>A-0245,train
identity_resolution,P-0351,P-0352,same_individual_alias,PH-0285,test
cross_case_link,P-0194,P-0143,money_mule_link,A-0242>A-0179,test
cross_case_link,P-0019,P-0184,money_mule_link,A-0023>A-0228,train
cross_case_link,P-0396,P-0282,money_mule_link,A-0486>A-0347,train
cross_case_link,P-0245,P-0227,money_mule_link,CHAIN-0104:A-0304>A-0072>A-0282,train
cross_case_link,P-0291,P-0024,money_mule_link,A-0357>A-0029,test
cross_case_link,P-0363,P-0249,money_mule_link,A-0448>A-0308,train
cross_case_link,P-0046,P-0301,money_mule_link,CHAIN-0151:A-0054>A-0196>A-0370,train
cross_case_link,P-0363,P-0173,money_mule_link,CHAIN-0138:A-0448>A-0308>A-0223>A-0214,train
cross_case_link,P-0369,P-0134,money_mule_link,A-0456>A-0166,test
cross_case_link,P-0040,P-0186,money_mule_link,A-0047>A-0230,train
cross_case_link,CASE-045,CASE-037,money_mule_link,CHAIN-0186:A-0291>A-0178>A-0123>A-0447,train
cross_case_link,P-0308,P-0335,money_mule_link,A-0379>A-0412,train
cross_case_link,P-0262,P-0384,shared_burner_phone,PH-0262,train
cross_case_link,CASE-018,CASE-019,money_mule_link,CHAIN-0065:A-0002>A-0144>A-0135,train
cross_case_link,P-0072,P-0103,money_mule_link,A-0086>A-0124,test
cross_case_link,CASE-016,CASE-004,money_mule_link,CHAIN-0032:A-0343>A-0480>A-0222,train
identity_resolution,P-0251,P-0358,same_individual_alias,PH-0251,train
cross_case_link,P-0001,P-0107,shared_burner_phone,PH-0001,train
cross_case_link,CASE-032,CASE-028,money_mule_link,CHAIN-0127:A-0217>A-0309>A-0486>A-0347,train
cross_case_link,P-0369,P-0099,money_mule_link,CHAIN-0171:A-0456>A-0166>A-0348>A-0119,train
cross_case_link,CASE-031,CASE-010,money_mule_link,CHAIN-0095:A-0468>A-0379>A-0412,train
cross_case_link,P-0035,P-0001,money_mule_link,A-0042>A-0001,train
cross_case_link,P-0278,P-0381,money_mule_link,A-0343>A-0468,train
cross_case_link,P-0215,P-0201,money_mule_link,A-0268>A-0250,test
cross_case_link,P-0038,P-0393,money_mule_link,A-0045>A-0482,train
cross_case_link,P-0056,P-0232,money_mule_link,CHAIN-0163:A-0067>A-0343>A-0410>A-0289,train
cross_case_link,CASE-019,CASE-005,money_mule_link,CHAIN-0055:A-0467>A-0173>A-0052,train
cross_case_link,CASE-022,CASE-004,money_mule_link,CHAIN-0191:A-0234>A-0324>A-0102>A-0255>A-0133,train
cross_case_link,P-0151,P-0125,money_mule_link,A-0189>A-0153,test
cross_case_link,P-0105,P-0018,money_mule_link,A-0128>A-0022,train
cross_case_link,P-0341,P-0321,money_mule_link,CHAIN-0102:A-0421>A-0021>A-0256>A-0394,train
identity_resolution,P-0308,P-0310,same_individual_alias,PH-0179,train
cross_case_link,P-0293,P-0247,money_mule_link,A-0360>A-0306,train
identity_resolution,P-0324,P-0325,same_individual_alias,PH-0123,train
cross_case_link,CASE-024,CASE-030,money_mule_link,CHAIN-0014:A-0294>A-0480>A-0329,train
identity_resolution,P-0086,P-0353,same_individual_alias,PH-0086,train
identity_resolution,P-0380,P-0381,same_individual_alias,PH-0259,train
cross_case_link,P-0314,P-0248,money_mule_link,A-0386>A-0307,train
cross_case_link,P-0084,P-0192,money_mule_link,A-0100>A-0240,test
cross_case_link,CASE-050,CASE-013,money_mule_link,CHAIN-0136:A-0019>A-0461>A-0291>A-0159,test
cross_case_link,CASE-033,CASE-014,money_mule_link,CHAIN-0189:A-0254>A-0439>A-0096>A-0346>A-0054,train
cross_case_link,P-0107,P-0195,money_mule_link,A-0130>A-0243,train
cross_case_link,P-0057,P-0293,shared_burner_phone,PH-0057,test
cross_case_link,CASE-039,CASE-031,money_mule_link,CHAIN-0141:A-0153>A-0013>A-0386>A-0307,train
cross_case_link,P-0203,P-0046,money_mule_link,CHAIN-0189:A-0254>A-0439>A-0096>A-0346>A-0054,train
cross_case_link,P-0181,P-0277,money_mule_link,A-0225>A-0341,train
cross_case_link,P-0024,P-0200,money_mule_link,CHAIN-0111:A-0029>A-0491>A-0416>A-0249,test
